"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,78.5559438099551,80.940320433645,137,0.913333333333333,1,31422.377523982
2,74.4485080682345,80.5082529730774,131,0.873333333333333,21,29779.4032272938
3,74.4290456137308,80.5024820465335,131,0.873333333333333,21,29771.6182454923
4,74.4273286631552,80.5052365092474,131,0.873333333333333,21,29770.9314652621
5,74.4310989773247,80.5113393006824,131,0.873333333333333,21,29772.4395909299
6,74.4341841006135,80.5116053184585,131,0.873333333333333,21,29773.6736402454
7,74.4329965488097,80.5131519898111,131,0.873333333333333,21,29773.1986195239
8,74.433911353343,80.5036100891661,131,0.873333333333333,21,29773.5645413372
9,74.4249761248257,80.4968972079971,131,0.873333333333333,21,29769.9904499303
10,74.4279446589071,80.5182015253463,131,0.873333333333333,21,29771.1778635629
11,8.04913404468507,8.04913404468507,0,0,NA,3219.65361787403
