"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,85.0803495131979,89.2117747008517,65.8989138342782,80,34032.1398052792,26359.5655337113,139,0.926666666666667,13,2,0.0133333333333333,1
2,84.7189381335549,88.6961325535121,60.0686080486957,65.7213800145857,33887.575253422,24027.4432194783,142,0.946666666666667,10,0,0,NA
3,84.7004307248927,88.6793333575571,60.0924835204305,65.7215183724639,33880.1722899571,24036.9934081722,142,0.946666666666667,10,0,0,NA
4,84.7030157718657,88.6824172336011,60.0910347991511,65.7178860147307,33881.2063087463,24036.4139196604,142,0.946666666666667,10,0,0,NA
5,84.7004112795488,88.6871038537929,60.0923434444826,65.72230735093,33880.1645118195,24036.9373777931,142,0.946666666666667,10,0,0,NA
6,84.6987515914348,88.6627286176274,60.0931105440216,65.718168657157,33879.5006365739,24037.2442176086,142,0.946666666666667,10,0,0,NA
7,84.7015075944519,88.6871641348497,60.0921754891951,65.723733949553,33880.6030377808,24036.870195678,142,0.946666666666667,10,0,0,NA
8,84.7019465161468,88.6676505897118,60.0917084111913,65.7217634414005,33880.7786064587,24036.6833644765,142,0.946666666666667,10,0,0,NA
9,84.6999237584727,88.6879041891908,60.0932072684368,65.7243381595672,33879.9695033891,24037.2829073747,142,0.946666666666667,10,0,0,NA
10,84.702624696975,88.6737711774255,60.0902051294006,65.7178262985181,33881.04987879,24036.0820517602,142,0.946666666666667,10,0,0,NA
11,8.82048521354979,8.82048521354979,6.57161859727814,6.57161859727814,3528.19408541992,2628.64743891125,0,0,NA,0,0,NA
