"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,89.4792749213557,99,19.9572223601921,50,35791.7099685423,7982.88894407683,151,1.00666666666667,1,0,0,NA
2,85.7518543629322,89.3572150744185,5.58945221477621,8.2427359661975,34300.7417451729,2235.78088591049,142,0.946666666666667,10,0,0,NA
3,85.755091079982,89.3590272099879,3.84655859926491,6.31060106734691,34302.0364319928,1538.62343970597,142,0.946666666666667,10,0,0,NA
4,85.7570558351053,89.3616542262607,3.13100041158561,5.36695653261256,34302.8223340421,1252.40016463424,142,0.946666666666667,10,0,0,NA
5,85.7603155374885,89.3651446087345,2.74725798568264,4.82287953549519,34304.1262149954,1098.90319427306,142,0.946666666666667,10,0,0,NA
6,85.7613600655935,89.3627805692288,2.51583241687446,4.48333425706112,34304.5440262374,1006.33296674979,142,0.946666666666667,10,0,0,NA
7,85.7588628611355,89.3694382062999,2.37093770002479,4.26165028709419,34303.5451444542,948.375080009918,142,0.946666666666667,10,0,0,NA
8,85.7586419810587,89.3616832736008,2.26978816514156,4.10287229871237,34303.4567924235,907.915266056623,142,0.946666666666667,10,0,0,NA
9,85.7612685107921,89.3633728537773,2.19703126132208,3.98686332284112,34304.5074043168,878.812504528831,142,0.946666666666667,10,0,0,NA
10,85.7592765809519,89.369053607123,2.14541291848012,3.90469001933103,34303.7106323808,858.165167392048,142,0.946666666666667,10,0,0,NA
11,8.9334670290559,8.9334670290559,0.390469001933103,0.390469001933103,3573.38681162236,156.187600773241,0,0,NA,0,0,NA
