"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,42.7985752313586,82.5600970190649,60.6949865261064,71.4586451796635,17119.4300925434,24277.9946104426,31,0.206666666666667,121,20,0.133333333333333,22
2,83.3874173426543,87.9587167210975,38.8363707314829,46.0020747764516,33354.9669370617,15534.5482925931,141,0.94,11,0,0,NA
3,83.7797039461101,88.446238226605,38.1373341588236,46.018945392773,33511.881578444,15254.9336635294,141,0.94,11,0,0,NA
4,83.781164110012,88.4320479440838,38.1412906991366,46.0101476167112,33512.4656440048,15256.5162796546,141,0.94,11,0,0,NA
5,83.7819387126773,88.433768727939,38.1380333561369,46.0148138094717,33512.7754850709,15255.2133424548,141,0.94,11,0,0,NA
6,83.7822647823983,88.4317400625064,38.1389057462862,46.0139856862777,33512.9059129593,15255.5622985145,141,0.94,11,0,0,NA
7,83.7839098923904,88.4306936562395,38.1390022180986,46.0124027992226,33513.5639569562,15255.6008872395,141,0.94,11,0,0,NA
8,83.7811788050683,88.4290099050357,38.1388453204219,46.0176264531324,33512.4715220273,15255.5381281688,141,0.94,11,0,0,NA
9,83.7821051031324,88.438984737768,38.1392112431106,46.0142643956757,33512.842041253,15255.6844972442,141,0.94,11,0,0,NA
10,83.7819341996326,88.4232052108286,38.1389196439911,46.015409009717,33512.7736798531,15255.5678575965,141,0.94,11,0,0,NA
11,8.6914111154327,8.6914111154327,4.6015409009717,4.6015409009717,3476.56444617308,1840.61636038868,0,0,NA,0,0,NA
