"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
424,100,100,5,5,"rectangle",10000,"large",1,1,150,4,8,2,4,45,45,100,30,30,100,4500,3000,0,0,0,450000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,3.27618978558734,0.00589360716510894,1.20409581597681e-05,1.61019289662772e-08,99.9954184056685,100,100,100,0.479669064940133,1.10777756327898,1.09785172260438,1.12942928858049
425,100,100,5,5,"rectangle",10000,"large",1,1,150,4,8,2,4,45,45,100,45,45,100,4500,4500,0,0,0,450000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,1.45052682205373,0.00265944321447259,6.08880918201878e-05,4.56027737717569e-05,100,99.6848483335463,100,100,0.723297056620666,1.0313356984128,1.07713321794452,1.07170471183139
426,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,74.7860300153399,41.4715093245677,4.71593648183787,0.0844130678085984,43.7155972432364,86.0183369376647,99.8632404425619,100,0.00166689901931456,0.0827651677593454,0.850356367585249,1.68430678908771
427,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,9.3377265713845,0.0344539693359171,4.98223093189126e-05,8.27851293177853e-08,99.5781456849164,100,100,100,0.591888890208054,1.6178834371679,1.71123825323857,1.61117646891371
428,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,1.64471535301674,0.00207132422082508,3.54669415622552e-06,5.98435250872614e-09,100,100,100,100,1.07709943874529,1.75667518304998,1.62549614854391,1.75721062689314
429,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,1,1,100,30,30,100,100,3000,0,0,0,10000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,0.119677719435211,0.0021432903781508,2.55674527205848e-06,7.66690872581989e-09,100,100,100,100,1.27918890339655,1.54499163452654,1.74199655406678,1.76639816385363
430,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,1,1,100,45,45,100,100,4500,0,0,0,10000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,0.0431924108945553,5.09287006359207e-05,5.93403142193228e-08,7.47161845284152e-11,100,100,100,100,1.46832809000276,1.75797043049643,1.76236963640753,1.70758907073934
431,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,94.0339025671675,99.9849545770503,40.499049937483,0.7777043192439,3.59795767083596,6.31159645471419,95.205355197272,100,9.94283097840999e-09,9.70820841806288e-09,0.0689826094978067,1.23133873547896
432,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,19.7196772090862,0.118106652397115,0.0336928598492932,4.95850367075318e-05,99.6543411163911,100,100,100,0.211588545131679,1.38371202504785,1.69208728997919,1.68185904086339
433,100,100,5,5,"rectangle",10000,"large",1,1,150,4,9,2.25,4,5,5,100,15,15,100,500,1500,0,0,0,50000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,70,70,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,5,1.86196319480347,0.00300337078117703,3.930012331975e-06,5.56237068638177e-09,100,100,100,100,1.03990156932266,1.71416372040609,1.69948073313072,1.70631178553637
