"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,77.5978424997005,80.6428291060629,138,0.92,14,31039.1369998802
2,74.4354760203132,80.5149352002475,131,0.873333333333333,21,29774.1904081253
3,74.4259440167259,80.4966023255241,131,0.873333333333333,21,29770.3776066904
4,74.4264179359045,80.5096667350215,131,0.873333333333333,21,29770.5671743618
5,74.4290513471697,80.5022932731199,131,0.873333333333333,21,29771.6205388679
6,74.432707117036,80.5085131090205,131,0.873333333333333,21,29773.0828468144
7,74.434366015312,80.5115829548667,131,0.873333333333333,21,29773.7464061248
8,74.4338495818156,80.5067566599574,131,0.873333333333333,21,29773.5398327262
9,74.4389588202654,80.5148422101561,131,0.873333333333333,21,29775.5835281062
10,74.4292439481307,80.5058471019162,131,0.873333333333333,21,29771.6975792523
11,8.04826404405052,8.04826404405052,0,0,NA,3219.30561762021
