"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,49.8847610974877,85.9729409432084,61.9922439866434,99,19953.9044389951,24796.8975946573,53,0.353333333333333,99,41,0.273333333333333,1
2,85.3250390448358,89.2209606768825,37.8162956633011,45.2760121760792,34130.0156179343,15126.5182653204,142,0.946666666666667,10,0,0,NA
3,85.6049762766002,89.2600957161092,37.3277021589336,45.2752119486186,34241.9905106401,14931.0808635734,142,0.946666666666667,10,0,0,NA
4,85.6082735242742,89.2646892471635,37.3265578080127,45.2710728721189,34243.3094097097,14930.6231232051,142,0.946666666666667,10,0,0,NA
5,85.6081299671056,89.2779487967735,37.3262415271393,45.2682659247528,34243.2519868422,14930.4966108557,142,0.946666666666667,10,0,0,NA
6,85.6091502595853,89.2908011901315,37.3243153921822,45.2738287015481,34243.6601038341,14929.7261568729,142,0.946666666666667,10,0,0,NA
7,85.6094829647415,89.2699405081762,37.3252443400062,45.271828818516,34243.7931858966,14930.0977360025,142,0.946666666666667,10,0,0,NA
8,85.6059958055112,89.2713797767067,37.3264732336231,45.2730684009426,34242.3983222045,14930.5892934492,142,0.946666666666667,10,0,0,NA
9,85.6037341648388,89.2722890578317,37.3276841446255,45.2751400390466,34241.4936659355,14931.0736578502,142,0.946666666666667,10,0,0,NA
10,85.6051109721627,89.2527355727329,37.3274296416791,45.2743359658786,34242.0443888651,14930.9718566717,142,0.946666666666667,10,0,0,NA
11,8.91475961992544,8.91475961992544,4.52743359658786,4.52743359658786,3565.90384797017,1810.97343863515,0,0,NA,0,0,NA
