"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,81.1178844263271,87.2658135333565,29.0421543280345,75,32447.1537705308,11616.8617312138,133,0.886666666666667,19,2,0.0133333333333333,1
2,81.7998358625031,86.498907267304,7.85288378370402,11.5019874690844,32719.9343450013,3141.15351348161,140,0.933333333333333,12,0,0,NA
3,82.0427969092459,86.6884215371686,6.1806139073743,9.84057236096104,32817.1187636984,2472.24556294972,140,0.933333333333333,12,0,0,NA
4,82.1678580373538,86.7584795150499,5.54097325523347,9.11016104885174,32867.1432149415,2216.38930209339,140,0.933333333333333,12,0,0,NA
5,82.2288415155161,86.7759109977362,5.2373436184904,8.74256193322279,32891.5366062064,2094.93744739616,140,0.933333333333333,12,0,0,NA
6,82.2617072729049,86.7952897343766,5.08070355198365,8.54579154904141,32904.682909162,2032.28142079346,140,0.933333333333333,12,0,0,NA
7,82.2727314343635,86.8031735203452,4.9981811904801,8.44565130090677,32909.0925737454,1999.27247619204,140,0.933333333333333,12,0,0,NA
8,82.2854051026717,86.7905507642709,4.95233574935907,8.38775623250903,32914.1620410687,1980.93429974363,140,0.933333333333333,12,0,0,NA
9,82.2882927871091,86.7965390001937,4.92914567357831,8.35147069015874,32915.3171148437,1971.65826943133,140,0.933333333333333,12,0,0,NA
10,82.2918805975229,86.8131796788717,4.90998081848911,8.33015041056897,32916.7522390092,1963.99232739564,140,0.933333333333333,12,0,0,NA
11,8.56429089947407,8.56429089947407,0.833015041056897,0.833015041056897,3425.71635978963,333.206016422759,0,0,NA,0,0,NA
