"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,84.6333042604364,87.433296514213,48.6586388213909,75,33853.3217041745,19463.4555285564,140,0.933333333333333,12,2,0.0133333333333333,1
2,14.6950237010614,71.6937333115736,60.9973528047974,74.8957408157371,5878.00948042456,24398.9411219189,5,0.0333333333333333,14,92,0.613333333333333,60
3,0.00676224517264534,0.0434644551573062,70.6448381882145,74.9313221490322,2.70489806905814,28257.9352752858,0,0,NA,132,0.88,20
4,2.43573413474553e-06,1.56535575819036e-05,70.6488991307744,74.9328682958882,0.000974293653898213,28259.5596523098,0,0,NA,132,0.88,20
5,8.77145805577263e-10,5.63701803432787e-09,70.6488789200926,74.9335113309205,3.50858322230905e-07,28259.551568037,0,0,NA,132,0.88,20
6,3.15909484297665e-13,2.03024529660853e-12,70.6481054789337,74.9340994738255,1.26363793719066e-10,28259.2421915735,0,0,NA,132,0.88,20
7,1.13768818113744e-16,7.31144597759468e-16,70.6501519588938,74.9339490095212,4.55075272454975e-14,28260.0607835575,0,0,NA,132,0.88,20
8,4.09731294869291e-20,2.63319072428931e-19,70.6494503985032,74.9352178714316,1.63892517947716e-17,28259.7801594013,0,0,NA,132,0.88,20
9,1.47552165192129e-23,9.48252219737652e-23,70.6499708042828,74.9320947608626,5.90208660768517e-21,28259.9883217131,0,0,NA,132,0.88,20
10,5.31326357816666e-27,3.41456801726512e-26,70.6494352420784,74.9318427594468,2.12530543126666e-24,28259.7740968313,0,0,NA,132,0.88,20
11,2.22746861974415e-30,2.22746861974415e-30,7.49289561258612,7.49289561258612,8.90987447897659e-28,2997.15824503445,0,0,NA,0,0,NA
