"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,18.0726571233568,77.6121959211861,69.8057671069712,81.6782759074747,7229.06284934272,27922.3068427885,15,0.1,1,110,0.733333333333333,42
2,0.00245054241639282,0.0161289126704631,77.7304388778094,81.705298579605,0.980216966557129,31092.1755511238,0,0,NA,138,0.92,14
3,2.74055029629592e-07,1.8037359617242e-06,77.731919055894,81.7096139747308,0.000109622011851837,31092.7676223576,0,0,NA,138,0.92,14
4,3.06442461063379e-11,2.01686330888424e-10,77.734069756055,81.7093229393702,1.22576984425352e-08,31093.627902422,0,0,NA,138,0.92,14
5,3.42658364797615e-15,2.25522608353027e-14,77.7344383477876,81.710700047156,1.37063345919046e-12,31093.775339115,0,0,NA,138,0.92,14
6,3.8318508215648e-19,2.52198125640629e-18,77.7348168502153,81.7084456408433,1.53274032862592e-16,31093.9267400861,0,0,NA,138,0.92,14
7,4.28502979139337e-23,2.8202412683705e-22,77.7327518220212,81.7050287830122,1.71401191655735e-20,31093.1007288085,0,0,NA,138,0.92,14
8,4.79150300225603e-27,3.15355645200929e-26,77.7338537625195,81.7102771506137,1.91660120090241e-24,31093.5415050078,0,0,NA,138,0.92,14
9,5.35747226241611e-31,3.52602367674018e-30,77.7318959561542,81.7052116240248,2.14298890496645e-28,31092.7583824617,0,0,NA,138,0.92,14
10,5.99049716785782e-35,3.9426718831142e-34,77.7323665932717,81.7049905666534,2.39619886714313e-32,31092.9466373087,0,0,NA,138,0.92,14
11,2.20514572858312e-38,2.20514572858312e-38,8.16937707491904,8.16937707491904,8.82058291433246e-36,3267.75082996761,0,0,NA,0,0,NA
