"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,83.7218902771257,89.1631776173686,57.6974499336801,65.5682216771616,33488.7561108503,23078.979973472,136,0.906666666666667,16,0,0,NA
2,85.4314419973232,89.1146844767493,59.9163007667228,65.5774814198682,34172.5767989293,23966.5203066891,142,0.946666666666667,10,0,0,NA
3,85.4302480686403,89.0953346123394,59.9194607791655,65.581258215705,34172.0992274561,23967.7843116662,142,0.946666666666667,10,0,0,NA
4,85.4323921774057,89.1025530877616,59.9183014188057,65.5827810533535,34172.9568709623,23967.3205675223,142,0.946666666666667,10,0,0,NA
5,85.4302536323604,89.1013357731341,59.9207083827689,65.5844149055407,34172.1014529442,23968.2833531076,142,0.946666666666667,10,0,0,NA
6,85.431059826933,89.1102855218604,59.9181776199611,65.5809738999748,34172.4239307732,23967.2710479845,142,0.946666666666667,10,0,0,NA
7,85.4330619215584,89.0954618962256,59.9183804565128,65.5830514603781,34173.2247686234,23967.3521826051,142,0.946666666666667,10,0,0,NA
8,85.4300097743835,89.1104499962162,59.9192600069118,65.5777752398137,34172.0039097534,23967.7040027647,142,0.946666666666667,10,0,0,NA
9,85.4319311471431,89.1034777681114,59.9194176402915,65.5833501061675,34172.7724588573,23967.7670561166,142,0.946666666666667,10,0,0,NA
10,85.4285061770281,89.1204097764827,59.9204162401711,65.584956639759,34171.4024708113,23968.1664960685,142,0.946666666666667,10,0,0,NA
11,8.89674724301358,8.89674724301358,6.5578916826158,6.5578916826158,3558.69889720543,2623.15667304632,0,0,NA,0,0,NA
