"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,61.5261625547447,76.2022340870283,105,0.7,47,24610.4650218979
2,69.9173936971421,76.5535969450008,126,0.84,26,27966.9574788569
3,69.9270578005607,76.5521072540092,126,0.84,26,27970.8231202243
4,69.9326342369977,76.5481033534709,126,0.84,26,27973.0536947991
5,69.9325441993992,76.5348298673053,126,0.84,26,27973.0176797597
6,69.9343684921631,76.563013940547,126,0.84,26,27973.7473968653
7,69.9381808468947,76.5542308486899,126,0.84,26,27975.2723387579
8,69.9388513466373,76.5705910421728,126,0.84,26,27975.5405386549
9,69.9390745039096,76.564400138584,126,0.84,26,27975.6298015638
10,69.9344241255487,76.564928071361,126,0.84,26,27973.7696502195
11,7.65240273270237,7.65240273270237,0,0,NA,3060.96109308095
