"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
778,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,30,1,1,94.8484521003885,99.8922977851594,5,0,0,3.69534559381139,4.04922534816134,NA,21.3112641755016,6.24323830156176,4.61316998896931,3.69534559381139,94.3332420807627,93.3858736045975,94.0196415044416,94.8484521003885
779,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,60,1,1,96.5005020667026,99.9526238730276,2,0,0,6.20817293394095,6.86435511468061,NA,29.6106101066311,12.2190006600821,7.12690728747473,6.20817293394095,91.4936424417074,91.9616530525345,94.2587554194661,96.5005020667026
780,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,30,30,100,45,45,100,3000,4500,0,0,0,300000,450000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,120,1,1,93.2928033578932,96.6572564937491,4,0,0,7.95515723915946,8.29972145516898,NA,30.1307255223169,12.0427206840298,8.29182328414744,7.95515723915946,91.5042626593879,91.8523357829313,93.2700398501929,93.2928033578932
781,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,0.75,0.75,98.848039019866,100,1,0.25,0.25,1.2878085172562,1.81084256079441,NA,86.5041148641974,13.0299239583162,1.71960922964548,1.2878085172562,54.2087318737753,98.2481981684845,98.4808169611511,98.848039019866
782,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,30,0,0,5.96852266513909e-08,3.29110029542691e-07,NA,1,1,99.9139249791132,100,1,93.7049239864185,99.9071390501847,99.9139052704856,99.9139249791132,3.85258558381778,0.0226260737340962,3.69736806149321e-05,5.96852266513909e-08
783,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,60,0,0,1.44733726836212e-07,7.9807556790121e-07,NA,1,1,99.9139249272226,100,1,93.5667207358246,99.9017996104761,99.9138835548871,99.9139249272226,4.21992200791655,0.0539105678462511,8.96593605347402e-05,1.44733726836212e-07
784,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,1,1,100,4500,100,0,0,0,450000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,120,0,0,3.09782607874762e-06,1.7081698705248e-05,NA,1,1,99.9139235542475,100,1,93.1710799495518,99.8392069420908,99.9135189578268,99.9139235542475,5.25635091757291,0.324268155934529,0.00188798824931356,3.09782607874762e-06
785,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,1,1,1,99.4490885183086,100,1,0,0,0.850974978795716,0.999998279140028,NA,65.7637506486999,4.13528624960329,1.3820026547814,0.850974978795716,80.2982935360697,98.0770535473379,98.8220021208554,99.4490885183086
786,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,30,0,0,5.61021700040002e-07,3.09352713643466e-06,NA,1,1,99.9139246523396,100,1,88.8694359694509,99.8520860380794,99.9137572372172,99.9139246523396,20.0842570782277,0.20922457754006,0.000347540629975509,5.61021700040002e-07
787,100,100,5,5,"rectangle",10000,"medium",1,1,120,4,8,2,4,45,45,100,5,5,100,4500,500,0,0,0,450000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.25,0.25,0.25,0.25,"all",600,60,0,0,5.77995718516351e-07,3.18712349370981e-06,NA,1,1,99.913924653814,100,1,90.881064885135,99.869128569314,99.9137642428447,99.913924653814,17.5433786059585,0.215410993808188,0.000358055637707694,5.77995718516351e-07
