"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,80.3515706476253,82.6093416542161,139,0.926666666666667,1,32140.6282590501
2,76.9503813020831,82.5315387409415,134,0.893333333333333,18,30780.1525208332
3,76.9529317601089,82.5465087212843,134,0.893333333333333,18,30781.1727040436
4,76.9455558537646,82.5361486646269,134,0.893333333333333,18,30778.2223415059
5,76.9529809235366,82.5504659303957,134,0.893333333333333,18,30781.1923694146
6,76.9530958799824,82.5522159768686,134,0.893333333333333,18,30781.2383519929
7,76.9510808453968,82.5424090735021,134,0.893333333333333,18,30780.4323381587
8,76.9530426126125,82.5434584608207,134,0.893333333333333,18,30781.217045045
9,76.950624715915,82.5347525736028,134,0.893333333333333,18,30780.249886366
10,76.950402500057,82.5531033558271,134,0.893333333333333,18,30780.1610000228
11,8.25053540710459,8.25053540710459,0,0,NA,3300.21416284183
