"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,69.4375235252884,82.33778842057,118,0.786666666666667,34,27775.0094101154
2,76.7153097563113,82.3496011870476,134,0.893333333333333,18,30686.1239025245
3,76.7140510419078,82.3434101941522,134,0.893333333333333,18,30685.6204167631
4,76.7145247127433,82.3468561735914,134,0.893333333333333,18,30685.8098850973
5,76.7139130830757,82.3443809403165,134,0.893333333333333,18,30685.5652332303
6,76.7119305131626,82.3373111867308,134,0.893333333333333,18,30684.772205265
7,76.7117880300352,82.3454727872025,134,0.893333333333333,18,30684.7152120141
8,76.7156910245775,82.3494442732382,134,0.893333333333333,18,30686.276409831
9,76.7179504635579,82.3562839433582,134,0.893333333333333,18,30687.1801854232
10,76.7069935708472,82.3430233060851,134,0.893333333333333,18,30682.7974283389
11,8.23384789571017,8.23384789571017,0,0,NA,3293.53915828407
