"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,51.8289473684211,26,0.346666666666667,51
2,72.6743421052632,59,0.786666666666667,18
3,70.7697368421053,59,0.786666666666667,16
4,78.0164473684211,62,0.826666666666667,14
5,68.8486842105263,54,0.72,22
6,65.8585526315789,44,0.586666666666667,33
7,74.9901315789474,60,0.8,17
8,74.625,60,0.8,17
9,75.5657894736842,59,0.786666666666667,18
10,78.2730263157895,63,0.84,13
11,4.75,0,0,NA
