"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,51.8941284758222,83.1626123694132,17.2615332163595,29.172147915301,20757.6513903289,6904.61328654381,65,0.433333333333333,87,0,0,NA
2,38.224616111637,85.4447537038503,42.1497476825066,69.3573946511155,15289.8464446548,16859.8990730026,47,0.313333333333333,12,0,0,NA
3,0.131854907875225,0.843195943635113,76.0261259125094,81.7085881718217,52.74196315009,30410.4503650038,0,0,NA,133,0.886666666666667,19
4,8.33933833010549e-05,0.000538396608176576,77.7333281283429,81.7088418678392,0.033357353320422,31093.3312513372,0,0,NA,138,0.92,14
5,5.05926146932306e-08,3.26637588830759e-07,77.7307378969304,81.7123327310114,2.02370458772922e-05,31092.2951587722,0,0,NA,138,0.92,14
6,3.06959743302345e-11,1.98182359882117e-10,77.7327403851434,81.7067871723801,1.22783897320938e-08,31093.0961540574,0,0,NA,138,0.92,14
7,1.86204134700937e-14,1.20215212742079e-13,77.7327966724155,81.706508344077,7.44816538803747e-12,31093.1186689662,0,0,NA,138,0.92,14
8,1.12961802836569e-17,7.29304466089765e-17,77.7329598558667,81.7083588645354,4.51847211346278e-15,31093.1839423467,0,0,NA,138,0.92,14
9,6.85214406763093e-21,4.42380241199633e-20,77.7319435294344,81.7025636100179,2.74085762705237e-18,31092.7774117738,0,0,NA,138,0.92,14
10,4.15687881654036e-24,2.68376475987752e-23,77.7355749274573,81.7085660125295,1.66275152661614e-21,31094.2299709829,0,0,NA,138,0.92,14
11,1.84287842523874e-27,1.84287842523874e-27,8.16928300664446,8.16928300664446,7.37151370095496e-25,3267.71320265778,0,0,NA,0,0,NA
