"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,65.0908878423825,68.6352366588981,0,0,NA,26036.355136953
2,62.0113570053817,66.0367033925179,0,0,NA,24804.5428021527
3,61.7377044336497,65.8159409994955,0,0,NA,24695.0817734599
4,61.7153561501117,65.8045152558905,0,0,NA,24686.1424600447
5,61.7127500986187,65.797445161054,0,0,NA,24685.1000394475
6,61.7140871524917,65.7971448493892,0,0,NA,24685.6348609967
7,61.714902860496,65.7984405445471,0,0,NA,24685.9611441984
8,61.7121435713475,65.7957792470473,0,0,NA,24684.857428539
9,61.713796834942,65.8007125037106,0,0,NA,24685.5187339768
10,61.7148957280446,65.7957375139725,0,0,NA,24685.9582912178
11,6.57918145805842,6.57918145805842,0,0,NA,2631.67258322337
