"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,83.6021593858511,89.1419547367367,36.7335137229176,41.7073150752587,33440.8637543405,14693.405489167,136,0.906666666666667,16,0,0,NA
2,85.276494942235,89.0670258733277,34.6284109879212,41.955358749449,34110.597976894,13851.3643951685,142,0.946666666666667,10,0,0,NA
3,85.2722975161766,89.0586039008667,34.6618276991409,41.9663343721871,34108.9190064706,13864.7310796564,142,0.946666666666667,10,0,0,NA
4,85.2678185539437,89.0575289711692,34.6598339704066,41.9651884517337,34107.1274215775,13863.9335881627,142,0.946666666666667,10,0,0,NA
5,85.2710172276957,89.0516105406256,34.6638449602134,41.9678721991876,34108.4068910783,13865.5379840854,142,0.946666666666667,10,0,0,NA
6,85.2722716652415,89.0426954415795,34.659171193627,41.9648436999629,34108.9086660966,13863.6684774508,142,0.946666666666667,10,0,0,NA
7,85.2711047748401,89.0538517934031,34.660337105608,41.9571212351483,34108.4419099361,13864.1348422432,142,0.946666666666667,10,0,0,NA
8,85.2689190733526,89.0628543311836,34.660617499939,41.9620960592888,34107.567629341,13864.2469999756,142,0.946666666666667,10,0,0,NA
9,85.2726342799405,89.0648376767509,34.6621806902775,41.9631876502992,34109.0537119762,13864.872276111,142,0.946666666666667,10,0,0,NA
10,85.2711923816588,89.0626285325313,34.6611024725052,41.9635931551701,34108.4769526635,13864.4409890021,142,0.946666666666667,10,0,0,NA
11,8.87873105527911,8.87873105527911,4.19635931551701,4.19635931551701,3551.49242211164,1678.5437262068,0,0,NA,0,0,NA
