"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,82.2730077679448,100,151,1.00666666666667,1,32909.2031071779
2,30.9823471710587,31.9313141321184,0,0,NA,12392.9388684235
3,25.5954754961591,26.9933841814846,0,0,NA,10238.1901984636
4,25.0139619188508,26.5186305982481,0,0,NA,10005.5847675403
5,24.9555847361357,26.4656369490164,0,0,NA,9982.2338944543
6,24.9498300318224,26.4602558660921,0,0,NA,9979.93201272897
7,24.9492657700864,26.459738238568,0,0,NA,9979.70630803457
8,24.9492059938414,26.4596772068231,0,0,NA,9979.68239753655
9,24.9492013911783,26.4596734639941,0,0,NA,9979.6805564713
10,24.9492021436825,26.4596687120948,0,0,NA,9979.680857473
11,2.64582030360474,2.64582030360474,0,0,NA,1058.3281214419
