"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,88.1793680544306,89.2444468980023,67.3613066303616,99,35271.7472217722,26944.5226521446,151,1.00666666666667,1,17,0.113333333333333,1
2,84.7178489868054,88.6706119191105,60.0670831091568,65.7208791537897,33887.1395947222,24026.8332436627,142,0.946666666666667,10,0,0,NA
3,84.7017375468389,88.6734655803069,60.0916434807973,65.722259730976,33880.6950187356,24036.6573923189,142,0.946666666666667,10,0,0,NA
4,84.7020157658587,88.6894249401121,60.0939798194924,65.7204457652239,33880.8063063435,24037.591927797,142,0.946666666666667,10,0,0,NA
5,84.7001093006486,88.6660806342047,60.0927737576111,65.7206582408755,33880.0437202594,24037.1095030444,142,0.946666666666667,10,0,0,NA
6,84.6984583915128,88.6791465368709,60.0926165536981,65.721687182948,33879.3833566051,24037.0466214792,142,0.946666666666667,10,0,0,NA
7,84.6991675156482,88.6818504271216,60.0926212110778,65.7202718197894,33879.6670062593,24037.0484844311,142,0.946666666666667,10,0,0,NA
8,84.700801477338,88.6794014442978,60.0913441101971,65.7221893273609,33880.3205909352,24036.5376440788,142,0.946666666666667,10,0,0,NA
9,84.70589912387,88.6782052071183,60.0910645222953,65.7208081772883,33882.359649548,24036.4258089181,142,0.946666666666667,10,0,0,NA
10,84.7032931848396,88.6436989646433,60.089771958744,65.7136957428079,33881.3172739358,24035.9087834976,142,0.946666666666667,10,0,0,NA
11,8.82226943155308,8.82226943155308,6.57120215030065,6.57120215030065,3528.90777262123,2628.48086012026,0,0,NA,0,0,NA
