"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
1,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",78.5513545253348,99.9071167766319,99.9071167766319,99.9071167766319,4.08925292752426,0.0219809094364915,6.73339062455158e-06,2.06236363292005e-09,1.42926436973289e-05,9.99071167766319e-06,9.98143198261956e-06,9.99071167766319e-06
2,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",80.6487769152092,99.9037893559461,99.9071167766319,99.9071167766319,3.76327821960595,0.0136255196601715,4.18733041906719e-06,1.28253328811461e-09,1.30920637569072e-05,9.99071167766319e-06,9.98143198261956e-06,9.99071167766319e-06
3,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",76.9970430215802,99.9071167766319,99.9071167766319,99.9071167766319,4.11332739220337,0.0205085761827084,6.28633496695562e-06,1.92543539031061e-09,1.70631231160618e-05,9.99071167766319e-06,9.98143198261956e-06,9.99071167766319e-06
4,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,1,1,100.0705128,1,1,100.0705128,624,624,0,0,0,62444,62444,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",81.5547083427873,99.8929826444187,99.9071167766319,99.9071167766319,3.74296845719311,0.0120012361749099,3.67734691810982e-06,1.12633080961695e-09,1.31739969164332e-05,9.99071167766319e-06,9.98143198261956e-06,9.99071167766319e-06
5,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",79.2256980721507,99.5469503266625,99.6710526315789,99.6710526315789,4.16465941916851,0.0251778980265056,1.11079017151285e-05,3.40222454509116e-09,1.34316717251624e-05,9.96708556766117e-06,9.93431873268698e-06,9.96710526315789e-06
6,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",82.5491244904664,99.6710526315789,99.6710526315789,99.6710526315789,3.49890010470098,0.0162408892599154,4.9739355766577e-06,1.523460610584e-09,1.17636016566362e-05,9.96710526315789e-06,9.93431873268698e-06,9.96710526315789e-06
7,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",81.4259571907146,99.6710526315789,99.6710526315789,99.6710526315789,3.52357372471927,0.017977182401209,5.50595152105475e-06,1.68641114122054e-09,1.19170637548139e-05,9.96710526315789e-06,9.93431873268698e-06,9.96710526315789e-06
8,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,1,1,100.32,1,1,100.32,100,100,0,0,0,10032,10032,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",84.2078049881724,99.6710526315789,99.6710526315789,99.6710526315789,3.40248642532706,0.0100442149047024,3.0759558608414e-06,9.42130657301056e-10,1.11758072811278e-05,9.96710526315789e-06,9.93431873268698e-06,9.96710526315789e-06
