"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,82.2698469510973,88.236618884582,68.1787997704945,99,32907.9387804389,27271.5199081978,134,0.893333333333333,18,25,0.166666666666667,1
2,12.3361918908596,68.636676757762,73.1782740159856,81.6848216600538,4934.47675634384,29271.3096063943,0,0,NA,123,0.82,29
3,0.00812790735465697,0.0524802190053549,77.7298847801866,81.7071038173315,3.25116294186279,31091.9539120746,0,0,NA,138,0.92,14
4,4.93074795184698e-06,3.18333203125133e-05,77.7352358111517,81.7107023775681,0.00197229918073879,31094.0943244607,0,0,NA,138,0.92,14
5,2.99083935734062e-09,1.93090686830902e-08,77.7331923451125,81.711994558344,1.19633574293625e-06,31093.276938045,0,0,NA,138,0.92,14
6,1.81405211279749e-12,1.17115600383945e-11,77.7321867559291,81.7046909117286,7.25620845118997e-10,31092.8747023717,0,0,NA,138,0.92,14
7,1.10054486567777e-15,7.10539097879605e-15,77.7339653071896,81.7064677716981,4.40217946271109e-13,31093.5861228758,0,0,NA,138,0.92,14
8,6.6760856998903e-19,4.31016053553315e-18,77.7334200175006,81.7102118434879,2.67043427995612e-16,31093.3680070002,0,0,NA,138,0.92,14
9,4.04955262701129e-22,2.61442214772305e-21,77.7324235298395,81.7060472403642,1.61982105080452e-19,31092.9694119358,0,0,NA,138,0.92,14
10,2.45670564046978e-25,1.58610204711792e-24,77.7337260927693,81.7062920497079,9.82682256187913e-23,31093.4904371077,0,0,NA,138,0.92,14
11,1.08913913684028e-28,1.08913913684028e-28,8.17031396486193,8.17031396486193,4.35655654736113e-26,3268.12558594477,0,0,NA,0,0,NA
