"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,51.0809365781851,87.0267459237249,73.721927551842,99,20432.374631274,29488.7710207368,61,0.406666666666667,91,91,0.606666666666667,1
2,6.58705514897508,40.5964533331919,74.7947093083855,81.6912427553993,2634.82205959003,29917.8837233542,0,0,NA,130,0.866666666666667,22
3,0.00187810142263678,0.0122420673512564,77.7329485405712,81.7053265683947,0.751240569054713,31093.1794162285,0,0,NA,138,0.92,14
4,5.11038089896042e-07,3.33100376943273e-06,77.7340413170368,81.7094711210269,0.000204415235958417,31093.6165268147,0,0,NA,138,0.92,14
5,1.39051299489936e-10,9.06352438310745e-10,77.7327059398021,81.7074410132391,5.56205197959744e-08,31093.0823759208,0,0,NA,138,0.92,14
6,3.78331736301439e-14,2.4659905838596e-13,77.7344281182291,81.7105642731024,1.51332694520576e-11,31093.7712472917,0,0,NA,138,0.92,14
7,1.02946016427388e-17,6.71017990766728e-17,77.7341699483351,81.7082668831285,4.11784065709552e-15,31093.667979334,0,0,NA,138,0.92,14
8,2.80136869109732e-21,1.82598587950619e-20,77.7348302057042,81.7079598214629,1.12054747643893e-18,31093.9320822817,0,0,NA,138,0.92,14
9,7.62277848550737e-25,4.9686408662777e-24,77.7316942349238,81.707623764993,3.04911139420295e-22,31092.6776939695,0,0,NA,138,0.92,14
10,2.07402198343424e-28,1.35186089152593e-27,77.7317156315505,81.7056066849504,8.29608793373697e-26,31092.6862526202,0,0,NA,138,0.92,14
11,8.37782822263987e-32,8.37782822263987e-32,8.16933969319419,8.16933969319419,3.35113128905595e-29,3267.73587727767,0,0,NA,0,0,NA
