"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,78.8954158835167,87.077865547947,52.3732724361711,99,31558.1663534067,20949.3089744685,133,0.886666666666667,19,16,0.106666666666667,1
2,14.6204088795628,71.4932456028659,61.0434656352404,74.8931803360496,5848.1635518251,24417.3862540962,4,0.0266666666666667,14,92,0.613333333333333,60
3,0.00671828296828465,0.0431818409440928,70.6442116718034,74.9314512553509,2.68731318731386,28257.6846687214,0,0,NA,132,0.88,20
4,2.41980144551977e-06,1.55510717817659e-05,70.6500916266965,74.9330176055692,0.000967920578207906,28260.0366506786,0,0,NA,132,0.88,20
5,8.71437304971609e-10,5.60036504534667e-09,70.649346202488,74.9326891561099,3.48574921988644e-07,28259.7384809952,0,0,NA,132,0.88,20
6,3.1382400206929e-13,2.0168123469991e-12,70.6500044535593,74.9356764546437,1.25529600827716e-10,28260.0017814237,0,0,NA,132,0.88,20
7,1.13017961772813e-16,7.26321088007335e-16,70.6483676742806,74.9321318712902,4.52071847091252e-14,28259.3470697122,0,0,NA,132,0.88,20
8,4.0700832006299e-20,2.61567218320941e-19,70.6505703674999,74.9340656670502,1.62803328025196e-17,28260.228147,0,0,NA,132,0.88,20
9,1.4657249118727e-23,9.41958254631267e-23,70.6496390841737,74.9321811463353,5.8628996474908e-21,28259.8556336695,0,0,NA,132,0.88,20
10,5.2788095960633e-27,3.39250456848806e-26,70.649366090917,74.93129457747,2.11152383842532e-24,28259.7464363668,0,0,NA,132,0.88,20
11,2.21307570998144e-30,2.21307570998144e-30,7.49269935106073,7.49269935106073,8.85230283992577e-28,2997.07974042429,0,0,NA,0,0,NA
