"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,5.86105263157895,0,0,NA
2,29.0381286549708,0,0,NA
3,55.267485380117,19,0.253333333333333,58
4,70.2628070175439,57,0.76,19
5,73.1407602339181,60,0.8,17
6,73.7645029239766,60,0.8,17
7,73.3635087719298,60,0.8,17
8,73.9874269005848,60,0.8,17
9,72.5202923976608,60,0.8,17
10,73.4948538011696,60,0.8,17
11,8.18666666666667,0,0,NA
