"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,78.2502268464883,82.5594272262812,135,0.9,17,31300.0907385953
2,76.9530831897722,82.5404963288677,134,0.893333333333333,18,30781.2332759089
3,76.9497898808015,82.5364006759406,134,0.893333333333333,18,30779.9159523206
4,76.9538201013195,82.5477764388134,134,0.893333333333333,18,30781.5280405278
5,76.9436864320147,82.558096084825,134,0.893333333333333,18,30777.4745728059
6,76.9549182357267,82.5490449004611,134,0.893333333333333,18,30781.9672942907
7,76.9572991503856,82.5464651407788,134,0.893333333333333,18,30782.9196601542
8,76.9561351255076,82.550055094847,134,0.893333333333333,18,30782.454050203
9,76.9528119102468,82.550262702168,134,0.893333333333333,18,30781.1247640987
10,76.9534123689088,82.5414399457276,134,0.893333333333333,18,30781.3649475635
11,8.251851566824,8.251851566824,0,0,NA,3300.7406267296
