"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,63.0111981022693,69.447409837277,35.1688105319469,75,25204.4792409077,14067.5242127788,0,0,NA,2,0.0133333333333333,1
2,2.38034418980338,14.1019190229624,54.8559355678037,64.2529604373553,952.137675921351,21942.3742271215,0,0,NA,0,0,NA
3,0.000200152587572858,0.00134554085449155,59.7116435855202,64.2633320155271,0.080061035029143,23884.6574342081,0,0,NA,0,0,NA
4,1.54514841703008e-08,1.03873448547358e-07,59.7118812853376,64.2626507489466,6.18059366812031e-06,23884.752514135,0,0,NA,0,0,NA
5,1.19281908561341e-12,8.01878471081126e-12,59.7118576323524,64.2618653860031,4.77127634245365e-10,23884.743052941,0,0,NA,0,0,NA
6,9.20826241906703e-17,6.19029806874047e-16,59.7119917451605,64.2632311046203,3.68330496762681e-14,23884.7966980642,0,0,NA,0,0,NA
7,7.10856993819727e-21,4.77877175951512e-20,59.712228690122,64.2631858304457,2.84342797527891e-18,23884.8914760488,0,0,NA,0,0,NA
8,5.48760097934563e-25,3.689062997861e-24,59.7126444963658,64.2628191519212,2.19504039173825e-22,23885.0577985463,0,0,NA,0,0,NA
9,4.2362801358059e-29,2.84785901739167e-28,59.7126947347713,64.2641316030216,1.69451205432236e-26,23885.0778939085,0,0,NA,0,0,NA
10,3.27028855467231e-33,2.19846611229285e-32,59.7123207408051,64.2636288241508,1.30811542186892e-30,23884.9282963221,0,0,NA,0,0,NA
11,1.16812684453323e-36,1.16812684453323e-36,6.42627291788884,6.42627291788884,4.67250737813293e-34,2570.50916715554,0,0,NA,0,0,NA
