"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,81.7625325257861,85,151,1.00666666666667,1,32705.0130103144
2,74.5801110994475,80.377257562431,132,0.88,20,29832.044439779
3,74.5318310934963,80.3682079728776,132,0.88,20,29812.7324373985
4,74.5339354176959,80.3658530183805,132,0.88,20,29813.5741670784
5,74.5346670626915,80.3641556320034,132,0.88,20,29813.8668250766
6,74.5314805403294,80.3593276905691,132,0.88,20,29812.5922161318
7,74.5259961516418,80.3562565593665,132,0.88,20,29810.3984606567
8,74.5314151426152,80.356722161195,132,0.88,20,29812.5660570461
9,74.5326880131097,80.3509812473191,132,0.88,20,29813.0752052439
10,74.5276255098997,80.3447428356788,132,0.88,20,29811.0502039599
11,8.03179725778335,8.03179725778335,0,0,NA,3212.71890311334
