"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,81.9741170175485,88.1405196908033,16.5638424845492,25,32789.6468070194,6625.53699381966,133,0.886666666666667,19,0,0,NA
2,84.0484208739978,88.039801010786,5.53798770819928,8.20315576760623,33619.3683495991,2215.19508327971,141,0.94,11,0,0,NA
3,84.1026777197698,88.0885090783115,4.16720490103956,6.7776390179253,33641.0710879079,1666.88196041583,141,0.94,11,0,0,NA
4,84.1243692676412,88.0972568749686,3.63202912604588,6.13233859890291,33649.7477070565,1452.81165041835,141,0.94,11,0,0,NA
5,84.1398351768431,88.1127407901148,3.37062816314516,5.79021755843008,33655.9340707372,1348.25126525806,141,0.94,11,0,0,NA
6,84.1483946857117,88.1134996838448,3.22237700697613,5.58886126561985,33659.3578742847,1288.95080279045,141,0.94,11,0,0,NA
7,84.1513185654127,88.1285123290966,3.13724760015629,5.47566912855525,33660.5274261651,1254.89904006252,141,0.94,11,0,0,NA
8,84.154208645496,88.1072089710442,3.08924249691187,5.40819270996762,33661.6834581984,1235.69699876475,141,0.94,11,0,0,NA
9,84.1551360385005,88.1155601329965,3.05670769053242,5.35929464761846,33662.0544154002,1222.68307621297,141,0.94,11,0,0,NA
10,84.1602240014709,88.1157628653576,3.03179689321522,5.3218116395422,33664.0896005883,1212.71875728609,141,0.94,11,0,0,NA
11,8.78999582709773,8.78999582709773,0.53218116395422,0.53218116395422,3515.99833083909,212.872465581688,0,0,NA,0,0,NA
