"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,81.7325690126895,85,151,1.00666666666667,1,32693.0276050758
2,75.6035399610156,81.4652234161002,133,0.886666666666667,19,30241.4159844062
3,75.5928419757406,81.4696555538629,133,0.886666666666667,19,30237.1367902962
4,75.6014111340663,81.4774572216512,133,0.886666666666667,19,30240.5644536265
5,75.5849449087918,81.4671096437845,133,0.886666666666667,19,30233.9779635167
6,75.5948711350852,81.4638599266347,133,0.886666666666667,19,30237.9484540341
7,75.5961795178419,81.4733551547971,133,0.886666666666667,19,30238.4718071368
8,75.5909269416877,81.4646776160499,133,0.886666666666667,19,30236.3707766751
9,75.5933607482074,81.4577671200449,133,0.886666666666667,19,30237.344299283
10,75.5912215393203,81.4495804211106,133,0.886666666666667,19,30236.4886157281
11,8.14373927121675,8.14373927121675,0,0,NA,3257.4957084867
