"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,78.8728779123482,80.0617958689454,144,0.96,8,31549.1511649393
2,70.6690388284437,76.3138175084899,129,0.86,23,28267.6155313775
3,70.4847352555959,76.2421735887109,129,0.86,23,28193.8941022384
4,70.4887081121998,76.2527923167304,129,0.86,23,28195.4832448799
5,70.4777873766593,76.2420088727457,129,0.86,23,28191.1149506637
6,70.4815910538742,76.2537610183813,129,0.86,23,28192.6364215497
7,70.4816203440613,76.26119345588,129,0.86,23,28192.6481376245
8,70.4796101516347,76.2540600459774,129,0.86,23,28191.8440606539
9,70.4833118116618,76.2638573793868,129,0.86,23,28193.3247246647
10,70.4752519641491,76.2354648713641,129,0.86,23,28190.1007856596
11,7.62142515394461,7.62142515394461,0,0,NA,3048.57006157784
