"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
551,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,6,1.5,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,9.45924520680698e-06,5.46620477917755e-05,NA,1,1,99.9180144417623,100,1,75.3937163875774,99.5088201969291,99.9146535251129,99.9180144417623,16.9803161628719,1.19235118616633,0.0114657406548283,9.45924520680698e-06
552,20,20,5,5,"rectangle",400,"small",1,1,125,4,6,1.5,4,5,5,100,1,1,100,20,4,0,0,0,2000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,9.16022754075337e-06,5.29341263199977e-05,NA,1,1,99.9180142145857,100,1,77.8621316474331,99.5778011421467,99.914499236653,99.9180142145857,9.49231113699958,0.749258978537718,0.0109282677475159,9.16022754075337e-06
553,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,7,1.75,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,8.10351099969059e-06,4.62921118393475e-05,NA,1,1,99.9180161735488,100,1,77.7674734478688,99.6352153946365,99.9170162061216,99.9180161735488,10.2645814839602,0.978830795100012,0.00685329934033122,8.10351099969059e-06
554,20,20,5,5,"rectangle",400,"small",1,1,125,4,7,1.75,4,5,5,100,1,1,100,20,4,0,0,0,2000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.00237987394947706,0.0135941196742855,NA,1,1,99.9175657410122,100,1,76.0538222955648,97.9915051905338,99.7520656831311,99.9175657410122,11.5250285209466,3.35475033092869,0.398356643337405,0.00237987394947706
555,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,8,2,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.0583464656115588,0.140092924029577,NA,1,1,99.885150013598,100,1,74.495896580207,98.0224731457744,99.8178124702971,99.885150013598,19.0347034073344,6.29825706455346,0.344373895414475,0.0583464656115588
556,20,20,5,5,"rectangle",400,"small",1,1,125,4,8,2,4,5,5,100,1,1,100,20,4,0,0,0,2000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.188416695226512,0.557066966876129,NA,1,1,99.8797775059048,100,1,71.5808016079694,97.1343161456904,99.259882202354,99.8797775059048,18.8843818164751,5.62783959990326,1.11057321232539,0.188416695226512
557,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,9,2.25,4,5,5,100,1,1,100,500,100,0,0,0,50000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.675169590462136,2.1932208259604,NA,1,1,99.7309426810388,99.9473739181047,1,72.4814206869982,93.6144729239327,97.7568232929068,99.7309426810388,19.8175866008922,14.5683653971069,5.05794571937599,0.675169590462136
558,20,20,5,5,"rectangle",400,"small",1,1,125,4,9,2.25,4,5,5,100,1,1,100,20,4,0,0,0,2000,400,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.000149233699344555,0.000849617303651459,NA,1,1,99.9179879647476,100,1,71.164087847084,97.5063033786156,99.887424757548,99.9179879647476,21.4296250111663,5.27000201382658,0.0750017970154353,0.000149233699344555
559,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,1,0.25,4,5,5,100,5,5,100,500,500,0,0,0,50000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.51148351014252e-10,3.35339996609235e-09,NA,1,1,99.9180184047318,100,1,75.9842424131964,99.8918532398276,99.9179973087094,99.9180184047318,12.8419971791275,0.00980693533989896,2.32520783106679e-06,5.51148351014252e-10
560,20,20,5,5,"rectangle",400,"small",1,1,125,4,1,0.25,4,5,5,100,5,5,100,20,20,0,0,0,2000,2000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.88752262942907e-10,2.97375800718922e-09,NA,1,1,99.9180184062121,100,1,77.4883736083639,99.8900264746592,99.9179990266298,99.9180184062121,8.95875469676029,0.00868546074723158,2.06196863138895e-06,4.88752262942907e-10
