"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
1388,20,20,5,5,"rectangle",400,"small",1,1,125,4,1,0.25,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0,0,0.00111289581174704,0.00677122697608096,NA,0.5,0.5,99.9155864706561,100,1,20.4727496824312,67.5962003690736,97.4703286923109,99.9155864706561,59.7856690260873,29.141030417724,1.94835377237801,0.00111289581174704
1389,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,2,0.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0.25,0.25,23.3230511758573,29.2135110757458,NA,0.25,0.25,78.051945995542,86.1377351507263,5,15.8226424912094,41.9422645560877,62.6234026971016,78.051945995542,76.3709043634404,58.9631604559885,39.1434566709721,23.3230511758573
1390,20,20,5,5,"rectangle",400,"small",1,1,125,4,2,0.5,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,0.25,0.25,12.9546554615849,20.1294310583781,NA,0.25,0.25,87.5927203340083,94.4233906363795,2,14.3706710448674,36.6702052886499,65.8196560074763,87.5927203340083,76.8274536134078,64.0310054043061,37.3151586347511,12.9546554615849
1391,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,3,0.75,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,83.255129052467,86.826586753279,4,0,0,18.313124645831,18.8365266544624,NA,8.67152904872213,11.917459516931,15.6414910135551,18.313124645831,82.7670411459073,90.1571794584724,86.0262426931708,83.255129052467
1392,20,20,5,5,"rectangle",400,"small",1,1,125,4,3,0.75,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,86.2355010240469,88.9584835646007,3,0,0,14.4882334095421,16.1188209635658,NA,7.76256820061138,10.5599238085958,13.1925474335189,14.4882334095421,77.7622824986159,89.2894439731704,86.4874002024899,86.2355010240469
1393,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,4,1,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,91.9079439515958,95.912397568087,2,0,0,10.915031437467,10.9550646170187,NA,9.17133012022392,10.8153693775083,10.8824925376822,10.915031437467,82.9241633082106,91.130935920157,91.1727846050174,91.9079439515958
1394,20,20,5,5,"rectangle",400,"small",1,1,125,4,4,1,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,92.3296115273771,94.1103357053079,3,0,0,8.24950777469535,8.27153697798932,NA,7.31680435607439,8.29241949227492,8.25335492261389,8.24950777469535,84.7361590296462,92.3635536884259,92.727741787062,92.3296115273771
1395,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,5,1.25,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,92.7276278338412,94.7928661910351,2,0,0,9.61269834276921,9.64047262224209,NA,8.3336800811393,9.62832089598253,9.61998397123052,9.61269834276921,84.5030289627655,92.874562691145,92.4041084836915,92.7276278338412
1396,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,1,1,100,15,15,100,4,60,0,0,0,400,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,91.9257100829285,93.0599599043517,2,0,0,9.9873997099515,10.0005029297429,NA,8.54521421038369,10.0255745555575,9.99320051644298,9.9873997099515,82.1979132307429,90.7419854621047,90.85008562779,91.9257100829285
1397,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,6,1.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.1,0.7,0.1,0.1,"up",600,1,1,93.3855981619838,95.0388380343472,1,0,0,9.97185593746067,10.0002083971429,NA,8.70275280476458,9.99365156484694,9.95795620677789,9.97185593746067,83.7119068106373,93.1336880656884,94.2514859828019,93.3855981619838
