"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,32.8461749087869,33.7046864497222,0,0,NA,13138.4699635148
2,25.8020590847124,27.1808130327126,0,0,NA,10320.823633885
3,25.0351027971248,26.537205579861,0,0,NA,10014.0411188499
4,24.9576739155424,26.4675829673282,0,0,NA,9983.06956621697
5,24.9500359176846,26.4604548880871,0,0,NA,9980.01436707382
6,24.9492842249726,26.4597474527004,0,0,NA,9979.71368998905
7,24.9492096311581,26.459683204888,0,0,NA,9979.68385246325
8,24.9492022642427,26.459673440595,0,0,NA,9979.6809056971
9,24.9492044357254,26.4596781039399,0,0,NA,9979.68177429016
10,24.9492073488882,26.459685395962,0,0,NA,9979.68293955529
11,2.64582087659374,2.64582087659374,0,0,NA,1058.3283506375
