"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,79.8279078514853,89.1943459399085,67.6479917882928,99,31931.1631405941,27059.1967153171,129,0.86,23,28,0.186666666666667,1
2,84.7206377803937,88.6711408897706,60.0663651243122,65.7219606282246,33888.2551121575,24026.5460497249,142,0.946666666666667,10,0,0,NA
3,84.7030030788496,88.6736929748634,60.0907839885604,65.7162648838139,33881.2012315398,24036.3135954242,142,0.946666666666667,10,0,0,NA
4,84.700745899186,88.6670468002031,60.0905182910349,65.7164195779418,33880.2983596744,24036.207316414,142,0.946666666666667,10,0,0,NA
5,84.7025908448113,88.6680701835887,60.0907000045294,65.7189573350209,33881.0363379245,24036.2800018118,142,0.946666666666667,10,0,0,NA
6,84.7010138064428,88.6893913606708,60.0922132789342,65.7207389953576,33880.4055225771,24036.8853115737,142,0.946666666666667,10,0,0,NA
7,84.6991070971923,88.6639154900012,60.0919974400867,65.7194952287914,33879.6428388769,24036.7989760347,142,0.946666666666667,10,0,0,NA
8,84.7016074027225,88.6849970834884,60.0902412596319,65.7233979079185,33880.642961089,24036.0965038528,142,0.946666666666667,10,0,0,NA
9,84.6994542026478,88.6862617607048,60.0922693103273,65.7222709977606,33879.7816810591,24036.9077241309,142,0.946666666666667,10,0,0,NA
10,84.7019111896837,88.6768278196246,60.0931466214271,65.7256209491723,33880.7644758735,24037.2586485708,142,0.946666666666667,10,0,0,NA
11,8.82064708836103,8.82064708836103,6.57143273808632,6.57143273808632,3528.25883534441,2628.57309523453,0,0,NA,0,0,NA
