"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,55.6377302999849,68.6306144780392,0,0,NA,22255.0921199939
2,62.012980690726,66.0385015767752,0,0,NA,24805.1922762904
3,61.7391488493927,65.8192047729007,0,0,NA,24695.6595397571
4,61.7160872860934,65.8007388061,0,0,NA,24686.4349144374
5,61.7149120010368,65.7995350191195,0,0,NA,24685.9648004147
6,61.7142290847718,65.7996377793466,0,0,NA,24685.6916339087
7,61.7135996273045,65.7973728773505,0,0,NA,24685.4398509218
8,61.7144131874388,65.7979110135857,0,0,NA,24685.7652749755
9,61.7152116088434,65.7963188756642,0,0,NA,24686.0846435373
10,61.7138167735282,65.7966768068002,0,0,NA,24685.5267094113
11,6.57827411375879,6.57827411375879,0,0,NA,2631.30964550352
