"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,75.7633888630106,77.6723675509891,137,0.913333333333333,1,30305.3555452043
2,18.8586831521055,19.1843284669176,0,0,NA,7543.47326084221
3,12.7291444528816,13.4083998039219,0,0,NA,5091.65778115263
4,12.0411785857062,12.83714524044,0,0,NA,4816.47143428249
5,11.9699071174987,12.7806414215468,0,0,NA,4787.96284699949
6,11.9628153109795,12.7750524765671,0,0,NA,4785.12612439179
7,11.9621134143559,12.7744996585109,0,0,NA,4784.84536574237
8,11.962043983646,12.7744449777432,0,0,NA,4784.81759345842
9,11.9620371160236,12.7744395691172,0,0,NA,4784.81484640944
10,11.9620364367279,12.7744390341351,0,0,NA,4784.81457469118
11,1.27744390341351,1.27744390341351,0,0,NA,510.977561365404
