"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,11.2397368421053,0,0,NA
2,41.1181578947368,0,0,NA
3,60.2103947368421,30,0.4,28
4,68.9589473684211,54,0.72,19
5,72.5453947368421,59,0.786666666666667,18
6,73.0098684210526,59,0.786666666666667,18
7,73.2053947368421,59,0.786666666666667,18
8,74.0357894736842,60,0.8,17
9,74.1072368421053,60,0.8,17
10,73.9951315789474,60,0.8,17
11,8.16,0,0,NA
