"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,86.3092266697807,87.4232833256527,65.0113272890214,65.9137874263996,34523.6906679123,26004.5309156086,148,0.986666666666667,4,0,0,NA
2,12.224851672498,68.1538461497301,73.2245535761635,81.6874715798884,4889.94066899921,29289.8214304654,0,0,NA,123,0.82,29
3,0.00804906625212936,0.0519706552573298,77.7313339809217,81.7112927994434,3.21962650085174,31092.5335923687,0,0,NA,138,0.92,14
4,4.88413099464991e-06,3.15335513086256e-05,77.7335898712079,81.7115409459474,0.00195365239785997,31093.4359484831,0,0,NA,138,0.92,14
5,2.963262799559e-09,1.9131590722642e-08,77.7339293745476,81.7094360320168,1.1853051198236e-06,31093.571749819,0,0,NA,138,0.92,14
6,1.79759139259153e-12,1.16054879233638e-11,77.7331134122975,81.7075924969828,7.19036557036613e-10,31093.245364919,0,0,NA,138,0.92,14
7,1.09053368688424e-15,7.040714896216e-15,77.7323763843903,81.7048657525621,4.36213474753694e-13,31092.9505537561,0,0,NA,138,0.92,14
8,6.61494577041167e-19,4.27065176629585e-18,77.7344256113057,81.7076663804769,2.64597830816467e-16,31093.7702445223,0,0,NA,138,0.92,14
9,4.01264270415862e-22,2.59061226351855e-21,77.7343572674799,81.7080850339653,1.60505708166345e-19,31093.742906992,0,0,NA,138,0.92,14
10,2.43428568182773e-25,1.57162229715388e-24,77.7348377217619,81.7118965158071,9.73714272731091e-23,31093.9350887048,0,0,NA,138,0.92,14
11,1.07919624972452e-28,1.07919624972452e-28,8.16918033804166,8.16918033804166,4.31678499889809e-26,3267.67213521666,0,0,NA,0,0,NA
