"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,81.3967196621756,82.5928525991617,146,0.973333333333333,6,32558.6878648702
2,76.9459006848843,82.5451828084022,134,0.893333333333333,18,30778.3602739537
3,76.9521952614756,82.5534460450999,134,0.893333333333333,18,30780.8781045902
4,76.9523485222187,82.5419605998813,134,0.893333333333333,18,30780.9394088875
5,76.9488197667945,82.5437595408855,134,0.893333333333333,18,30779.5279067178
6,76.9522785508258,82.5351341446146,134,0.893333333333333,18,30780.9114203303
7,76.9487662191679,82.5380724057407,134,0.893333333333333,18,30779.5064876672
8,76.9568178343279,82.554841792377,134,0.893333333333333,18,30782.7271337312
9,76.9512169071871,82.5414441001278,134,0.893333333333333,18,30780.4867628749
10,76.950515369588,82.5394936171899,134,0.893333333333333,18,30780.2061478352
11,8.25184066500863,8.25184066500863,0,0,NA,3300.73626600345
