"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,13.6453723960997,51.8664517734644,63.9889488104609,81.673262270305,5458.1489584399,25595.5795241844,0,0,NA,92,0.613333333333333,60
2,0.0182694454856451,0.117964839059093,77.7261916409494,81.7023460332586,7.30777819425803,31090.4766563798,0,0,NA,138,0.92,14
3,1.10854051013791e-05,7.15702748226191e-05,77.7329128941681,81.7069428502807,0.00443416204055163,31093.1651576672,0,0,NA,138,0.92,14
4,6.72533945897413e-09,4.34203011238938e-08,77.7334574064955,81.7079480979083,2.69013578358965e-06,31093.3829625982,0,0,NA,138,0.92,14
5,4.08009066094032e-12,2.63419326265912e-11,77.7341992871565,81.7054302057731,1.63203626437613e-09,31093.6797148626,0,0,NA,138,0.92,14
6,2.47508403595602e-15,1.59794855416141e-14,77.7347651707808,81.7091200856889,9.90033614382406e-13,31093.9060683123,0,0,NA,138,0.92,14
7,1.50162423078866e-18,9.69487705962669e-18,77.7342656748173,81.7103782372904,6.00649692315465e-16,31093.7062699269,0,0,NA,138,0.92,14
8,9.11000979922784e-22,5.88161660279419e-21,77.7334273429766,81.7062725907091,3.64400391969114e-19,31093.3709371906,0,0,NA,138,0.92,14
9,5.52681546719888e-25,3.56823114583992e-24,77.7324663378988,81.7065548852923,2.21072618687955e-22,31092.9865351595,0,0,NA,138,0.92,14
10,3.35293125705625e-28,2.16472039997766e-27,77.7335525317963,81.7069377187555,1.3411725028225e-25,31093.4210127185,0,0,NA,138,0.92,14
11,1.48646287187275e-31,1.48646287187275e-31,8.17062664817944,8.17062664817944,5.94585148749101e-29,3268.25065927178,0,0,NA,0,0,NA
