"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,0.64592645447367,0,0,NA
2,1.53234558380297,0,0,NA
3,2.30801692676242,0,0,NA
4,3.30497019112226,0,0,NA
5,4.74769121921253,0,0,NA
6,6.40654396704137,0,0,NA
7,8.62908948975543,0,0,NA
8,10.4908072819374,0,0,NA
9,12.8112769682,0,0,NA
10,15.3481996580675,0,0,NA
11,2.30167388186777,0,0,NA
