"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,85.7290418616899,88.2243520264435,49.628595871928,80,34291.616744676,19851.4383487712,144,0.96,8,7,0.0466666666666667,1
2,29.3478823253697,85.8980361492749,54.9848138960489,74.79328272218,11739.1529301479,21993.9255584196,33,0.22,11,68,0.453333333333333,84
3,0.0622910657910611,0.390474769969321,70.610487775216,74.9304172420445,24.9164263164244,28244.1951100864,0,0,NA,131,0.873333333333333,21
4,6.34699248111538e-05,0.000397170221036199,70.6486415882265,74.9327730890467,0.0253879699244615,28259.4566352906,0,0,NA,132,0.88,20
5,6.45533821612757e-08,4.03944762935475e-07,70.6502987992208,74.935468163276,2.58213528645103e-05,28260.1195196883,0,0,NA,132,0.88,20
6,6.56476540168817e-11,4.10785283262359e-10,70.6499479829229,74.9335691340729,2.62590616067527e-08,28259.9791931692,0,0,NA,132,0.88,20
7,6.67642203577913e-14,4.17777201752715e-13,70.6502921436152,74.9319749796577,2.67056881431165e-11,28260.1168574461,0,0,NA,132,0.88,20
8,6.78965357929977e-17,4.248583195221e-16,70.6487463622777,74.9335222111923,2.71586143171991e-14,28259.4985449111,0,0,NA,132,0.88,20
9,6.90435161960313e-20,4.32031393255154e-19,70.648237065463,74.9321622267671,2.76174064784125e-17,28259.2948261852,0,0,NA,132,0.88,20
10,7.02222397663461e-23,4.39420652654319e-22,70.6494065486703,74.931970453626,2.80888959065385e-20,28259.7626194681,0,0,NA,132,0.88,20
11,3.34337772474394e-26,3.34337772474394e-26,7.49265518179496,7.49265518179496,1.33735108989757e-23,2997.06207271798,0,0,NA,0,0,NA
