"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,81.2357944695934,82.4251142668504,145,0.966666666666667,7,32494.3177878374
2,76.71500354026,82.3424241717759,134,0.893333333333333,18,30686.001416104
3,76.7210009518025,82.3573174658708,134,0.893333333333333,18,30688.400380721
4,76.7189643115031,82.3463318828054,134,0.893333333333333,18,30687.5857246012
5,76.7154879709613,82.3489008298825,134,0.893333333333333,18,30686.1951883845
6,76.7132084431491,82.3417358611064,134,0.893333333333333,18,30685.2833772596
7,76.7174425490811,82.3608890446927,134,0.893333333333333,18,30686.9770196324
8,76.7156083897243,82.3417258091186,134,0.893333333333333,18,30686.2433558897
9,76.708346224147,82.3312452471601,134,0.893333333333333,18,30683.3384896588
10,76.7120371503335,82.3419109524099,134,0.893333333333333,18,30684.8148601334
11,8.23119951086742,8.23119951086742,0,0,NA,3292.47980434697
