"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","SAV_end_yr01","SAV_end_yr02","SAV_end_yr03","SAV_end_yr04","FP_end_yr01","FP_end_yr02","FP_end_yr03","FP_end_yr04","TOTALN_end_yr01","TOTALN_end_yr02","TOTALN_end_yr03","TOTALN_end_yr04"
11,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,15,15,100,15,15,100,1500,1500,0,0,0,150000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.445742161474111,0.000383839584359983,3.1593771446994e-07,2.6003441188955e-10,1e-08,1e-08,1e-08,1e-08
12,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,15,15,100,30,30,100,1500,3000,0,0,0,150000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.8363457815163,0.000737267805068473,6.06867680171954e-07,4.99486078262871e-10,1e-08,1e-08,1e-08,1e-08
13,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,30,30,100,1,1,100,3000,100,0,0,0,300000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.0258230342094577,2.15242106526144e-05,1.77158653958023e-08,1.45811475479038e-11,1e-08,1e-08,1e-08,1e-08
14,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,30,30,100,5,5,100,3000,500,0,0,0,300000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.120367794458487,0.000100668523373783,8.28574979090522e-08,6.81963529654058e-11,1e-08,1e-08,1e-08,1e-08
15,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.292820073678833,0.000248813254553299,2.04793300425706e-07,1.68556338280537e-10,1e-08,1e-08,1e-08,1e-08
16,100,100,5,5,"rectangle",10000,"large",1,1,120,4,1,0.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",100,100,100,100,0.588861994905846,0.000505677659711299,4.16227716313227e-07,3.42578698564472e-10,1e-08,1e-08,1e-08,1e-08
17,100,100,5,5,"rectangle",10000,"large",1,1,120,4,2,0.5,4,1,1,100,1,1,100,100,100,0,0,0,10000,10000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",75.961796918279,99.0791546393788,100,100,7.86138321620559,0.128217779654957,0.000500311547681072,1.74885268096624e-06,1.58882884245115e-05,1.000000000108e-08,1e-08,1e-08
18,100,100,5,5,"rectangle",10000,"large",1,1,120,4,2,0.5,4,1,1,100,5,5,100,100,500,0,0,0,10000,50000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",49.2710206080662,96.0968945986227,100,100,18.3064116099157,0.606269482276854,0.0033815890962004,1.18900530244264e-05,0.000592983648072831,1.0003073925029e-08,1e-08,1e-08
19,100,100,5,5,"rectangle",10000,"large",1,1,120,4,2,0.5,4,1,1,100,15,15,100,100,1500,0,0,0,10000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",17.3685935317371,55.022990300905,99.5278393748511,100,58.2740520878042,8.85294990268565,0.402134002476422,0.00158204589590985,0.0140251725937974,0.000260605833047556,1.00000007052752e-08,1e-08
20,100,100,5,5,"rectangle",10000,"large",1,1,120,4,2,0.5,4,1,1,100,30,30,100,100,3000,0,0,0,10000,3e+05,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.01,0.5,0.02,0.113,0.25,0.25,0.25,0.25,"all",600,10,"A",8.09159370815837,22.3565962773939,71.9707811467461,98.8762325116732,92.1931067714357,43.2592733213862,3.39119822897585,0.131974215632147,0.0352190105023727,0.00958968089066919,1.47828142656673e-05,1.0000000002317e-08
