"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,78.9149299327514,85,138,0.92,1,31565.9719731006
2,70.7188984456032,76.3406512218906,129,0.86,23,28287.5593782413
3,70.4860964584939,76.2527283843454,129,0.86,23,28194.4385833976
4,70.4863337921091,76.2475012056064,129,0.86,23,28194.5335168436
5,70.483115793968,76.2503981574922,129,0.86,23,28193.2463175872
6,70.481095291491,76.2494055502765,129,0.86,23,28192.4381165964
7,70.4878544200459,76.2532597695797,129,0.86,23,28195.1417680184
8,70.4824924810071,76.2598039027816,129,0.86,23,28192.9969924028
9,70.475928051562,76.2597183626385,129,0.86,23,28190.3712206248
10,70.4800663421405,76.2423153039053,129,0.86,23,28192.0265368562
11,7.62156625539416,7.62156625539416,0,0,NA,3048.62650215766
