"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,30.8493831798162,99,41.5804879007753,74.7984131301075,12339.7532719265,16632.1951603101,35,0.233333333333333,1,56,0.373333333333333,96
2,0.00952008103355654,0.0634629696109504,70.6401104351957,74.9331670430126,3.80803241342262,28256.0441740783,0,0,NA,132,0.88,20
3,1.19049066949965e-06,7.93530184049853e-06,70.6498351694649,74.9342326198288,0.000476196267799861,28259.9340677859,0,0,NA,132,0.88,20
4,1.48858575169703e-10,9.92228937513063e-10,70.6491997915126,74.9307173575352,5.95434300678812e-08,28259.6799166051,0,0,NA,132,0.88,20
5,1.86128136770139e-14,1.24064870186846e-13,70.6493180198512,74.9336178160119,7.44512547080556e-12,28259.7272079405,0,0,NA,132,0.88,20
6,2.32725301671411e-18,1.55124279675505e-17,70.6476593657738,74.9315557136414,9.30901206685645e-16,28259.0637463095,0,0,NA,132,0.88,20
7,2.90990072772642e-22,1.93961154439007e-21,70.649218375828,74.9342818732162,1.16396029109057e-19,28259.6873503312,0,0,NA,132,0.88,20
8,3.63843665208011e-26,2.42522256483554e-25,70.6497817458471,74.9325895560592,1.45537466083204e-23,28259.9126983388,0,0,NA,132,0.88,20
9,4.54946321638774e-30,3.03248011306198e-29,70.6499053727296,74.9340895313194,1.8197852865551e-27,28259.9621490918,0,0,NA,132,0.88,20
10,5.68862989238591e-34,3.79180165463518e-33,70.649506701287,74.9330761653666,2.27545195695436e-31,28259.8026805148,0,0,NA,132,0.88,20
11,2.12076357711728e-37,2.12076357711728e-37,7.49284181866331,7.49284181866331,8.48305430846912e-35,2997.13672746533,0,0,NA,0,0,NA
