"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,61.6300867313917,82.1282766444684,96,0.64,56,24652.0346925567
2,76.4314335930872,82.1401392108925,134,0.893333333333333,18,30572.5734372349
3,76.4307735287485,82.1430259030831,134,0.893333333333333,18,30572.3094114994
4,76.429301450694,82.1438219937593,134,0.893333333333333,18,30571.7205802776
5,76.4335574034916,82.1482456723518,134,0.893333333333333,18,30573.4229613966
6,76.4322244436037,82.1500940991536,134,0.893333333333333,18,30572.8897774415
7,76.4235060456376,82.1312185393447,134,0.893333333333333,18,30569.402418255
8,76.427316095881,82.140957452963,134,0.893333333333333,18,30570.9264383524
9,76.4200951725098,82.1411710265963,134,0.893333333333333,18,30568.0380690039
10,76.4301317144594,82.1402615676317,134,0.893333333333333,18,30572.0526857838
11,8.21199156675005,8.21199156675005,0,0,NA,3284.79662670002
