"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,4.32638650732345,0,0,NA
2,9.39256312541494,0,0,NA
3,15.2046237850257,0,0,NA
4,21.3053977995288,0,0,NA
5,26.9843186770232,0,0,NA
6,33.1986111760303,0,0,NA
7,39.6355997978444,0,0,NA
8,44.5402607484235,0,0,NA
9,50.4043196176929,16,0.16,86
10,54.6008482126603,34,0.34,68
11,7.81865988997851,0,0,NA
