"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,68.9023584521721,80.0984875780832,121,0.806666666666667,31,27560.9433808688
2,74.5213353073265,80.3712410706684,132,0.88,20,29808.5341229306
3,74.5354634540271,80.3726799806035,132,0.88,20,29814.1853816108
4,74.5367121557972,80.3793629569059,132,0.88,20,29814.6848623189
5,74.5381743719697,80.3774379576889,132,0.88,20,29815.2697487879
6,74.5370541333755,80.3792466519908,132,0.88,20,29814.8216533502
7,74.5314282495943,80.3633933371439,132,0.88,20,29812.5712998377
8,74.5336609647225,80.3701795695986,132,0.88,20,29813.464385889
9,74.522089318644,80.3604449933919,132,0.88,20,29808.8357274576
10,74.53764877287,80.3721233546892,132,0.88,20,29815.059509148
11,8.03460534372432,8.03460534372432,0,0,NA,3213.84213748973
