"year","avgFP","daysFP","propdaysFP","firstdayFP"
1,4.63654970760234,0,0,NA
2,15.3987719298246,0,0,NA
3,27.0514619883041,0,0,NA
4,39.2743859649123,0,0,NA
5,50.2331578947368,0,0,NA
6,60.975730994152,35,0.466666666666667,25
7,69.2874269005848,54,0.72,19
8,71.1588304093567,59,0.786666666666667,18
9,73.16,60,0.8,17
10,73.4507602339181,60,0.8,17
11,7.86222222222222,0,0,NA
