"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,85.5109055419986,88.2970643159696,67.7135054639529,99,34204.3622167994,27085.4021855811,141,0.94,11,19,0.126666666666667,1
2,12.3419425642763,68.6614587783675,73.1777163101342,81.6883143165161,4936.77702571052,29271.0865240537,0,0,NA,123,0.82,29
3,0.00813026278572814,0.0524939620261213,77.7294352465407,81.7048211593574,3.25210511429126,31091.7740986163,0,0,NA,138,0.92,14
4,4.93288528772686e-06,3.18479237084861e-05,77.7336104917344,81.7095067531456,0.00197315411509074,31093.4441966937,0,0,NA,138,0.92,14
5,2.9926929988066e-09,1.93214940887407e-08,77.7326330703237,81.7089121960259,1.19707719952264e-06,31093.0532281295,0,0,NA,138,0.92,14
6,1.81569733030879e-12,1.17226323247878e-11,77.735424122019,81.7132650430245,7.26278932123514e-10,31094.1696488076,0,0,NA,138,0.92,14
7,1.10151604847765e-15,7.11159555473555e-15,77.7320111362611,81.7102957638303,4.40606419391061e-13,31092.8044545044,0,0,NA,138,0.92,14
8,6.68189946227857e-19,4.3139122248801e-18,77.7326918377356,81.7126127635115,2.67275978491143e-16,31093.0767350942,0,0,NA,138,0.92,14
9,4.05340042235603e-22,2.61693650264134e-21,77.731538041987,81.7035002896804,1.62136016894241e-19,31092.6152167948,0,0,NA,138,0.92,14
10,2.4590388084963e-25,1.5876053938394e-24,77.7331009046797,81.7056864835575,9.83615523398519e-23,31093.2403618719,0,0,NA,138,0.92,14
11,1.09017145778278e-28,1.09017145778278e-28,8.17056864835575,8.17056864835575,4.36068583113112e-26,3268.2274593423,0,0,NA,0,0,NA
