"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,79.2409542325956,82.1777361351346,137,0.913333333333333,15,31696.3816930382
2,76.4268480169324,82.1333261581621,134,0.893333333333333,18,30570.739206773
3,76.4304163763604,82.1418510530295,134,0.893333333333333,18,30572.1665505442
4,76.4286049199119,82.1499146851956,134,0.893333333333333,18,30571.4419679648
5,76.4313505051885,82.1584729007753,134,0.893333333333333,18,30572.5402020754
6,76.4268322384832,82.1352590325696,134,0.893333333333333,18,30570.7328953933
7,76.4326052973098,82.157394044907,134,0.893333333333333,18,30573.0421189239
8,76.4313032335873,82.152856409087,134,0.893333333333333,18,30572.5212934349
9,76.4270503800638,82.1538981139034,134,0.893333333333333,18,30570.8201520255
10,76.4286389848047,82.1336644654853,134,0.893333333333333,18,30571.4555939219
11,8.21126402192861,8.21126402192861,0,0,NA,3284.50560877144
