"simulation","height1","width1","height2","width2","shape","area","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_up","prob_down","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03"
153,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8722993909224,100,1,0,0,2.16532335999941e-06,6.27052691514429e-06,NA,22.719215605573,0.295649957122768,0.000815752540931477,93.499516077327,99.1909839899917,99.8699355690626
154,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8722143421839,100,1,0,0,2.80741678574932e-06,8.10042428525052e-06,NA,23.0473928793446,0.379472346229447,0.0010540688513757,93.6605328359947,99.0894351788055,99.869690102753
155,20,20,10,10,"rectangle",400,1,1,125,4,7,1.75,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8723990261607,100,1,0,0,4.92983273993933e-06,1.42709460987256e-05,NA,26.4480513727973,0.646978424676796,0.0018805643410432,92.6027148532506,98.7823222658593,99.8668084987231
156,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.882157232797,100,1,0,0,1.20629175629335e-06,3.48935053705434e-06,NA,22.0421990462581,0.177407481673164,0.000466440856875294,92.9796516400657,99.5904528450818,99.8812699952828
157,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8819888759849,100,1,0,0,1.91648795317031e-06,5.57360451854826e-06,NA,24.5978080261195,0.278587931771302,0.000746785631733948,92.624777079033,99.2913189197718,99.8806963928553
158,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8821778292643,100,1,0,0,1.15679910096359e-06,3.35863740274546e-06,NA,20.8100547183704,0.175118657847875,0.000455530019229474,93.4372757863307,99.6221433386435,99.8813879010588
159,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8821951608466,100,1,0,0,3.97844146631016e-06,1.15746466930368e-05,NA,27.5595358655773,0.571822584266083,0.00155254462993039,92.0002362139056,99.0147320748061,99.8800772935742
160,20,20,10,10,"rectangle",400,1,1,125,4,8,2,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8792090943101,100,1,0,0,9.6979279091512e-07,2.82254139502369e-06,NA,20.6872652778942,0.14538247098822,0.000379530845897119,93.9127182513115,99.63950178287,99.8814718684176
161,20,20,10,10,"rectangle",400,1,1,125,4,9,2.25,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8886189366172,100,1,0,0,9.79767166100723e-07,2.85874125025075e-06,NA,21.5570381076244,0.152215583013582,0.000388612169155217,92.9667438568653,99.6883407194447,99.8881736249461
162,20,20,10,10,"rectangle",400,1,1,125,4,9,2.25,4,25,25,100,30,30,100,100,120,0,0,0,10000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,4,0.01,0.044,0.25,0.25,0.25,0.25,"all",600,1,1,99.8886186142985,100,1,0,0,9.40543975588599e-07,2.73949908302578e-06,NA,21.5627673229104,0.145593878516519,0.000372826883540632,93.1105805274296,99.7116176897912,99.8881505871954
