"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,86.5039748162209,88.9110982866781,49.4226661590264,80,34601.5899264884,19769.0664636105,144,0.96,8,7,0.0466666666666667,1
2,83.827919513593,88.4583296604814,38.0115986193904,46.0121326605388,33531.1678054372,15204.6394477562,142,0.946666666666667,10,0,0,NA
3,83.7798823161749,88.4227594495545,38.1402209988307,46.0185024325935,33511.95292647,15256.0883995323,141,0.94,11,0,0,NA
4,83.7814300920081,88.4428130633939,38.1397107282568,46.0109665184721,33512.5720368032,15255.8842913027,141,0.94,11,0,0,NA
5,83.7860449780816,88.4373119396618,38.1370192570322,46.0090044721323,33514.4179912326,15254.8077028129,141,0.94,11,0,0,NA
6,83.784340029171,88.4244052180401,38.1370918177949,46.012846365848,33513.7360116684,15254.836727118,141,0.94,11,0,0,NA
7,83.7808082808039,88.4313116299413,38.1399093438724,46.0142468841067,33512.3233123216,15255.963737549,141,0.94,11,0,0,NA
8,83.7851464392027,88.4276430731313,38.1377495919936,46.0130944572741,33514.0585756811,15255.0998367974,141,0.94,11,0,0,NA
9,83.7840423744844,88.4368042526851,38.1377922766431,46.0169355864504,33513.6169497938,15255.1169106572,141,0.94,11,0,0,NA
10,83.7798574886671,88.4329463626653,38.1401902140148,46.0167837891863,33511.9429954669,15256.0760856059,141,0.94,11,0,0,NA
11,8.68856139969278,8.68856139969278,4.60167837891863,4.60167837891863,3475.42455987711,1840.67135156745,0,0,NA,0,0,NA
