"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","mix_freq","scenario","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
13499,390,390,176,176,"tee",90148,"XL",NA,1,120,4,9,2.25,4,30,30,100.0014791,15,15,100.0014791,27044,13522,0,0,0,2704440,1352220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.25,0.25,0.25,0.25,"all",600,10,"A2",1,1,96.7424397791903,99.9977138745002,1,0,0,0.851250508999882,1.29420665986647,NA,26.2612394123775,1.52956984048556,0.445582398022315,0.851250508999882,90.1828954972477,97.6921165137259,97.6087960856507,96.7424397791903
13500,390,390,176,176,"tee",90148,"XL",NA,1,120,4,9,2.25,4,30,30,100.0014791,15,15,100.0014791,27044,13522,0,0,0,2704440,1352220,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,1,0.5,0.667,0.298,0.1,0.7,0.1,0.1,"up",600,10,"A2",1,1,80.6719391755402,84.7336832603439,3,0,0,15.9857298310587,17.8006584799048,NA,28.9129555063615,7.68196659427808,11.6192546026424,15.9857298310587,88.4994199129572,90.3656299099,85.0584888126341,80.6719391755402
13501,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,30,30,100.0010676,30,30,100.0010676,18733,18733,0,0,0,1873320,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,8.51371973367855e-10,4.97680325962792e-09,NA,1,1,99.8211217117044,99.9071167766319,1,80.2052812434585,99.7959647729592,99.8210902414615,99.8211217117044,20.032056087551,0.0090738946539123,2.77941857908379e-06,8.51371973367855e-10
13502,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,30,30,100.0010676,30,30,100.0010676,18733,18733,0,0,0,1873320,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.3418,0.5,0.406,0.362,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,7.09915911529469e-10,4.14990384114287e-09,NA,1,1,99.8211217172476,99.9071167766319,1,82.3063745209088,99.7990688939706,99.8210953150887,99.8211217172476,17.2711174144002,0.00756571544706154,2.31761623962151e-06,7.09915911529469e-10
13503,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,30,30,100.0010676,30,30,100.0010676,18733,18733,0,0,0,1873320,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,6.14070795569977e-10,3.58962901368002e-09,NA,1,1,99.8211217203186,99.9071167766319,1,82.5834653064665,99.8020610305281,99.8210980959027,99.8211217203186,15.527717048507,0.00654474091474752,2.00471689323693e-06,6.14070795569977e-10
13504,276,275,58,58,"cross",62444,"large",NA,1,120,4,1,0.25,4,30,30,100.0010676,30,30,100.0010676,18733,18733,0,0,0,1873320,1873320,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.6906,0.5,0.58,0.333,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,5.877126864223e-10,3.43554933088969e-09,NA,1,1,99.8211217207532,99.9071167766319,1,83.2865922240211,99.7991412388635,99.8210984693564,99.8211217207532,14.2918281009313,0.00624480281939811,1.91866740107495e-06,5.877126864223e-10
13505,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,30,30,99.98671096,30,30,99.98671096,3010,3010,0,0,0,300960,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.25,0.25,0.25,0.25,"all",600,10,"A1",0,0,1.88375197610743e-09,1.10116150157328e-08,NA,1,1,99.5852607298156,99.6710526315789,1,77.8303419066719,99.5345464849869,99.5852032391151,99.5852607298156,25.1293274385217,0.0200716772146422,6.14889612536554e-06,1.88375197610743e-09
13506,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,30,30,99.98671096,30,30,99.98671096,3010,3010,0,0,0,300960,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.0547,0.5,0.099,0.239,0.1,0.7,0.1,0.1,"up",600,10,"A1",0,0,4.52773482258837e-09,2.64672172297709e-08,NA,1,1,99.5852606759541,99.6710526315789,1,76.6845457912287,99.4784531913235,99.5851561051382,99.5852606759541,29.7216723931841,0.0473375792847985,1.47793197682609e-05,4.52773482258837e-09
13507,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,30,30,99.98671096,30,30,99.98671096,3010,3010,0,0,0,300960,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.25,0.25,0.25,0.25,"all",600,10,"A2",0,0,7.64321176008068e-10,4.46789739059393e-09,NA,1,1,99.58526076626,99.6710526315789,1,84.5159668867382,99.5660967538784,99.5852362741177,99.58526076626,14.326842214627,0.00814393172529097,2.49487807731214e-06,7.64321176008068e-10
13508,121,120,34,33,"cross",10032,"med1",NA,1,120,4,1,0.25,4,30,30,99.98671096,30,30,99.98671096,3010,3010,0,0,0,300960,300960,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.04,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.1104,0.5,0.181,0.303,0.1,0.7,0.1,0.1,"up",600,10,"A2",0,0,2.00899067849503e-09,1.17437073467081e-08,NA,1,1,99.5852607263418,99.6710526315789,1,76.8779564948878,99.5318613240293,99.5852001227342,99.5852607263418,28.4862277209206,0.0213890014517435,6.55769737407541e-06,2.00899067849503e-09
