"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,79.4539691960632,85,138,0.92,1,31781.5876784253
2,75.6006298604656,81.4706896261756,133,0.886666666666667,19,30240.2519441862
3,75.5927817930121,81.471719515459,133,0.886666666666667,19,30237.1127172048
4,75.590617552827,81.4509256034512,133,0.886666666666667,19,30236.2470211308
5,75.5979035915172,81.4691397618957,133,0.886666666666667,19,30239.1614366069
6,75.5941691418179,81.4817833635992,133,0.886666666666667,19,30237.6676567272
7,75.5885648154624,81.457360293537,133,0.886666666666667,19,30235.425926185
8,75.5931510800074,81.4830418714439,133,0.886666666666667,19,30237.260432003
9,75.602437378889,81.4676640107121,133,0.886666666666667,19,30240.9749515556
10,75.5954841519699,81.4720231727126,133,0.886666666666667,19,30238.193660788
11,8.14357383888991,8.14357383888991,0,0,NA,3257.42953555596
