TOTALN,area,HtoW,wind_direction,wind_shape2,prob_up,prob_down,prob_left,prob_right
10,1600,4,all,0.2,0.25,0.25,0.25,0.25
10,1600,4,up,4,0.7,0.1,0.1,0.1
10,1600,4,up,0.4,0.7,0.1,0.1,0.1
10,1600,4,up,0.2,0.7,0.1,0.1,0.1
10,3600,1,all,4,0.25,0.25,0.25,0.25
10,3600,1,all,0.4,0.25,0.25,0.25,0.25
10,3600,1,all,0.2,0.25,0.25,0.25,0.25
10,3600,1,up,4,0.7,0.1,0.1,0.1
10,3600,1,up,0.4,0.7,0.1,0.1,0.1
10,3600,1,up,0.2,0.7,0.1,0.1,0.1
10,3600,0.25,all,4,0.25,0.25,0.25,0.25
10,3600,0.25,all,0.4,0.25,0.25,0.25,0.25
10,3600,0.25,all,0.2,0.25,0.25,0.25,0.25
10,3600,0.25,up,4,0.7,0.1,0.1,0.1
10,3600,0.25,up,0.4,0.7,0.1,0.1,0.1
10,3600,0.25,up,0.2,0.7,0.1,0.1,0.1
10,3600,4,all,4,0.25,0.25,0.25,0.25
10,3600,4,all,0.4,0.25,0.25,0.25,0.25
10,3600,4,all,0.2,0.25,0.25,0.25,0.25
10,3600,4,up,4,0.7,0.1,0.1,0.1
10,3600,4,up,0.4,0.7,0.1,0.1,0.1
10,3600,4,up,0.2,0.7,0.1,0.1,0.1
