"height","width","timesteps","years","wind_prob","wind_directions","wind_directions.1","wind_directions.2","wind_directions.3","buffer","numbspecies","initial01","initial02","initial03","initial04","agedead01","agedead02","agedead03","agedead04","maxrgr01","maxrgr02","maxrgr03","maxrgr04","overwinter01","overwinter02","overwinter03","overwinter04","propyears_avgFP_abovethreshold","propyears_propdaysFP_abovehalf"
125,500,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.1,0.4
125,500,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.4,0.6
125,500,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.2,0.5
150,600,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0
150,600,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.1,0.3
150,600,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0,0.3
10,40,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
10,40,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,1
10,40,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.3,1
25,100,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.8
25,100,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
25,100,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.4,0.6
50,200,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
50,200,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.7
50,200,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.8
75,300,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.7
75,300,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.3,0.5
75,300,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0.3
100,400,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.2,0.4
100,400,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.4,0.5
100,400,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.3,0.5
125,500,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0.3
125,500,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.3,0.4
125,500,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0
150,600,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0,0
150,600,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0,0.2
150,600,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.2,0.4
10,40,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
10,40,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.9,0.9
10,40,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,1
25,100,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.9,0.9
25,100,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.8
25,100,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,0.9
50,200,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
50,200,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
50,200,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.4,0.5
75,300,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,0.7
75,300,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.7
75,300,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.6
100,400,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.5,0.6
100,400,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.1,0.4
100,400,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0,0.4
125,500,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.2,0.4
125,500,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.3,0.5
125,500,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.3,0.4
150,600,75,10,0.25,"U","L","","",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.3,0.4
150,600,75,10,0.25,"U","L","","",3,2,3,3,0,0,30,30,30,30,0.3,0.3,0,0,0.1,0.1,0,0,0.1,0.2
150,600,75,10,0.25,"U","L","","",3,3,2,2,2,0,30,30,30,30,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0,0.1
40,10,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.6,1
40,10,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.5,0.8
40,10,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
100,25,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.8,0.9
100,25,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.9,0.9
100,25,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
200,50,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.7,0.8
200,50,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
200,50,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.6,0.7
300,75,75,10,0.25,"U","D","L","R",3,1,6,0,0,0,30,30,30,30,0.3,0,0,0,0.1,0,0,0,0.4,0.5
300,75,75,10,0.25,"U","D","L","R",3,2,3,3,0,0,30,30,30,30,0.4,0.2,0,0,0.05,0.15,0,0,0.4,0.6
300,75,75,10,0.25,"U","D","L","R",3,3,2,2,2,0,30,30,30,30,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.6,0.7
