height,width,area,perimeter,shape,timesteps,years,wind_prob,WIND,wind_directions,wind_directions.1,wind_directions.2,wind_directions.3,buffer,numbspecies,initial01,initial02,initial03,initial04,agedead01,agedead02,agedead03,agedead04,speciesdiffs,maxrgr01,maxrgr02,maxrgr03,maxrgr04,overwinter01,overwinter02,overwinter03,overwinter04,propyears_avgFP_abovethreshold,propyears_propdaysFP_abovehalf
50,200,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,0.8
50,200,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
50,200,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.4,0.5
75,300,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
75,300,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.6,0.7
75,300,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.4,0.5
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,1
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.4,0.2,0,0,0.05,0.15,0,0,0.9,0.9
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,1
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,0.9
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.8,0.8
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,0.8
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.4,0.6
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.7
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0,0
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0.5
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.9,1
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.9,1
10,40,400,100,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,1
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,0.8
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.8
25,100,2500,250,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
50,200,10000,500,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,0.8
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.5,0.6
75,300,22500,750,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.6,0.7
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.9
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.8,1
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,1
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.9,0.9
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.8,0.9
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.7,0.9
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,0.8
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0,0.1
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.1,0.3
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,1
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.9,1
40,10,400,100,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.9
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,0.9
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
100,25,2500,250,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,0.9
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,0.8
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.5,0.7
300,75,22500,750,rect,75,10,0.25,undirected,U,D,L,R,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.5,0.6
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,1
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.8,1
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.8,1
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.9,0.9
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.8,0.9
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.9,0.9
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.7,0.7
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0,0.2
300,75,22500,750,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.6,0.7
300,75,22500,750,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,tradeoff,0.4,0.2,0,0,0.05,0.15,0,0,0.6,0.7
300,75,22500,750,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,tradeoff,0.4,0.3,0.2,0,0.05,0.1,0.15,0,0.6,0.6
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.8,1
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.9
40,10,400,100,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.9,0.9
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.9,0.9
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.8,0.9
100,25,2500,250,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.8,0.9
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,2,3,3,0,0,30,30,30,30,identical,0.3,0.3,0,0,0.1,0.1,0,0,0.7,0.8
200,50,10000,500,rect,75,10,0.25,directed,U,L,,,3,3,2,2,2,0,30,30,30,30,identical,0.3,0.3,0.3,0,0.1,0.1,0.1,0,0.7,0.8
300,75,22500,750,rect,75,10,0.25,directed,U,L,,,3,1,6,0,0,0,30,30,30,30,NA,0.3,0,0,0,0.1,0,0,0,0.4,0.5
