"simulation","height1","width1","height2","width2","shape","area","size","HtoW","numbFPspecies","days","years","TOTALN","TOTALP","N_to_P","initial_perc_SAV_cover","initial_perc_SAV_cells_occupied","SAV_biomass_per_cell","initial_perc_FP_cover","initial_perc_FP_cells_occupied","FP_biomass_per_cell","initialSAVcells","initial01cells","initial02cells","initial03cells","initial04cells","initialSAVtotmass","initial01totmass","initial02totmass","initial03totmass","initial04totmass","neigh_thresh_SAV","focal_thresh_SAV","amnt_colonize_SAV","neigh_thresh_FP","focal_thresh_FP","amnt_colonize_FP","maxSAVrgr","maxrgr01","maxrgr02","maxrgr03","maxrgr04","lightlimitationSAV","lightlimitation01","lightlimitation02","lightlimitation03","lightlimitation04","halfsatNSAV","halfsatN01","halfsatN02","halfsatN03","halfsatN04","shadingbyFP","lightattenuation","lossSAV","lossFP","uptakeNSAV","uptakeN01","uptakeN02","uptakeN03","uptakeN04","uptakePSAV","uptakeP01","uptakeP02","uptakeP03","uptakeP04","overwinterSAV","overwinter01","overwinter02","overwinter03","overwinter04","wind_shape1","wind_shape2","wind_avg","wind_stdev","prob_down","prob_up","prob_left","prob_right","wind_direction","full_thresh_wind","propyears_avgFPcover_abovethreshold","propyears_prop_daysFP_abovehalf","avg_avg_FPcover","avg_max_FPcover","avg_firstdayFP","propyears_avgSAVcover_abovethreshold","propyears_prop_daysSAV_abovehalf","avg_avg_SAVcover","avg_max_SAVcover","avg_firstdaySAV","avg_SAVcover_yr01","avg_SAVcover_yr02","avg_SAVcover_yr03","avg_SAVcover_yr04","avg_FPcover_yr01","avg_FPcover_yr02","avg_FPcover_yr03","avg_FPcover_yr04"
766,20,20,5,5,"rectangle",400,"small",1,1,125,4,5,1.25,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,9.34657363200542e-08,5.35957920572366e-07,NA,1,1,99.9180183343826,100,1,84.5741794726445,99.8640108917391,99.9179455900054,99.9180183343826,31.3306689792773,0.170236903063572,0.00012619975758849,9.34657363200542e-08
767,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,6,1.5,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.82628649098503e-07,1.63322519924676e-06,NA,1,1,99.9180182411882,100,1,84.5259452151604,99.8395536401215,99.9178928189861,99.9180182411882,36.5401503191434,0.278390246642757,0.000346523999723503,2.82628649098503e-07
768,20,20,5,5,"rectangle",400,"small",1,1,125,4,6,1.5,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.84478056990982e-07,1.64391234431025e-06,NA,1,1,99.9180182196853,100,1,83.1079627337853,99.8158637179786,99.917866983355,99.9180182196853,37.1423194538628,0.414728999373601,0.000348769676088321,2.84478056990982e-07
769,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,7,1.75,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,4.14024693813691e-06,2.36515564970833e-05,NA,1,1,99.9180171144128,100,1,82.6573988986524,99.7049973351725,99.9172677997999,99.9180171144128,41.3973504493214,0.929282945870996,0.00350845628985884,4.14024693813691e-06
770,20,20,5,5,"rectangle",400,"small",1,1,125,4,7,1.75,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.54050681903565e-06,2.02254549570549e-05,NA,1,1,99.9180171976447,100,1,80.2646361301921,99.4959185641891,99.9173583130794,99.9180171976447,38.0757199355213,1.61342717795759,0.00299921605734144,3.54050681903565e-06
771,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,8,2,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.72367552196277e-06,9.8918946652681e-06,NA,1,1,99.9180178626167,100,1,83.3350418721657,99.7663288680125,99.9177171016442,99.9180178626167,43.3075472415501,0.912554713030677,0.00137985861806208,1.72367552196277e-06
772,20,20,5,5,"rectangle",400,"small",1,1,125,4,8,2,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,8.55917092941118e-07,4.91196964573254e-06,NA,1,1,99.9180181309147,100,1,85.763487076975,99.8430711649679,99.9178523262634,99.9180181309147,34.2333831944074,0.528215095728855,0.000685199717327585,8.55917092941118e-07
773,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,9,2.25,4,30,30,100,15,15,100,3000,1500,0,0,0,300000,150000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.0132394923819336,0.0242615907910819,NA,1,1,99.9136372725747,100,1,80.2134829987455,99.2178414706449,99.8931943900967,99.9136372725747,49.7638622174181,3.81425167055249,0.0751202250894537,0.0132394923819336
774,20,20,5,5,"rectangle",400,"small",1,1,125,4,9,2.25,4,30,30,100,15,15,100,120,60,0,0,0,12000,6000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,0.00115722561712146,0.00658787806225597,NA,1,1,99.9178638704626,100,1,75.6459030218384,97.5444260016445,99.8465231077411,99.9178638704626,53.0571195358549,11.4074316677447,0.491018738307773,0.00115722561712146
775,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,1,0.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.62265976495775e-10,1.59572774748042e-09,NA,1,1,99.9180184165347,100,1,88.4926272791291,99.910589518983,99.9180112320046,99.9180184165347,13.2340421503306,0.00466800868152603,1.10645871924807e-06,2.62265976495775e-10
776,20,20,5,5,"rectangle",400,"small",1,1,125,4,1,0.25,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,3.12914272740928e-10,1.90389159228945e-09,NA,1,1,99.9180184151626,100,1,87.6368065152807,99.9086056380688,99.918009632386,99.9180184151626,14.2366140502918,0.00556962728734255,1.32013589813214e-06,3.12914272740928e-10
777,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,2,0.5,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.97795390934676e-09,1.17152965183511e-08,NA,1,1,99.918018408345,100,1,86.5049413216029,99.9035786325215,99.9180026003149,99.918018408345,21.0093169346762,0.0172902143598265,5.84824148737886e-06,1.97795390934676e-09
778,20,20,5,5,"rectangle",400,"small",1,1,125,4,2,0.5,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.14455529405766e-09,1.27020660403929e-08,NA,1,1,99.9180184068534,100,1,85.5176677688493,99.9018029494809,99.9180009302728,99.9180184068534,22.3472145417646,0.0187458859689402,6.34083161689842e-06,2.14455529405766e-09
779,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,3,0.75,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.25438399362437e-08,7.18724582773708e-08,NA,1,1,99.9180183663236,100,1,77.1012630261538,99.8638109923959,99.9179591602798,99.9180183663236,43.0779749862982,0.0875440185845918,3.33654662472968e-05,1.25438399362437e-08
780,20,20,5,5,"rectangle",400,"small",1,1,125,4,3,0.75,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,5.75650388791939e-08,3.29827967320748e-07,NA,1,1,99.9180182525856,100,1,75.17094130826,99.702072087941,99.917853775445,99.9180182525856,40.0257048247361,0.320351228482936,0.000152940073588811,5.75650388791939e-08
781,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,4,1,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,7.82990540510357e-07,4.5707838941212e-06,NA,1,0.75,99.9180176589544,100,1,70.1766055088479,99.6118755756538,99.9173811233906,99.9180176589544,52.6109570606234,0.578069472951398,0.00147051525455907,7.82990540510357e-07
782,20,20,5,5,"rectangle",400,"small",1,1,125,4,4,1,4,30,30,100,30,30,100,120,120,0,0,0,12000,12000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,1.68911379720364e-08,9.86036875709153e-08,NA,1,1,99.9180183863859,100,1,84.2621496532065,99.8839425823393,99.9179830264318,99.9180183863859,26.1391700393035,0.0595379512545775,3.18696787104364e-05,1.68911379720364e-08
783,100,100,5,5,"rectangle",10000,"medium",1,1,125,4,5,1.25,4,30,30,100,30,30,100,3000,3000,0,0,0,300000,300000,0,0,0,100,0,1,100,0,1,0.5,0.5,0,0,0,0.01,0.01,0,0,0,0,0.2,0,0,0,0.02,0,0.05,0.05,0.075,0.005,0,0,0,0.01875,0.00125,0,0,0,0.1,0.1,0,0,0,0.04,0.2,0.167,0.335,0.1,0.7,0.1,0.1,"up",600,0,0,2.65441432415269e-06,1.52216270056626e-05,NA,1,1,99.9180171168909,100,1,72.4652720823261,99.7117548518716,99.9166496779548,99.9180171168909,55.1838738030412,0.519216881870561,0.00348687033933333,2.65441432415269e-06
