"year","avgFPcover","maxFPcover","numb_daysFP","prop_daysFP","firstdayFP","avgFPbiomass"
1,79.637596262894,85,139,0.926666666666667,1,31855.0385051576
2,42.353827541968,44.0688858928507,0,0,NA,16941.5310167872
3,38.2161467811768,40.459144833374,0,0,NA,15286.4587124707
4,37.787325797276,40.0923027766591,0,0,NA,15114.9303189104
5,37.7453568877224,40.050985584102,0,0,NA,15098.142755089
6,37.7408843331035,40.0459649104413,0,0,NA,15096.3537332414
7,37.7406703097128,40.0462177106929,0,0,NA,15096.2681238851
8,37.7407549379729,40.0460691076041,0,0,NA,15096.3019751892
9,37.7405498820324,40.0457512114345,0,0,NA,15096.2199528129
10,37.7408730513255,40.0466303358549,0,0,NA,15096.3492205302
11,4.00171186017745,4.00171186017745,0,0,NA,1600.68474407098
