"year","avgFPcover","maxFPcover","avgSAVcover","maxSAVcover","avgFPbiomass","avgSAVbiomass","numb_daysFP","prop_daysFP","firstdayFP","numb_daysSAV","prop_daysSAV","firstdaySAV"
1,86.2063166971374,88.118929129371,30.9005885175452,37.9506015523842,34482.526678855,12360.2354070181,145,0.966666666666667,1,0,0,NA
2,38.5966234422756,86.5533915661777,47.8335062519086,74.6021929349472,15438.6493769102,19133.4025007634,49,0.326666666666667,11,47,0.313333333333333,105
3,0.15178919518389,0.953730175572541,70.5548110720634,74.9276812578467,60.715678073556,28221.9244288253,0,0,NA,131,0.873333333333333,21
4,0.000155009311470339,0.000969972900318932,70.6500611013619,74.9354014997405,0.0620037245881355,28260.0244405448,0,0,NA,132,0.88,20
5,1.57647390255089e-07,9.86478030719545e-07,70.6502485291236,74.9350762883874,6.30589561020358e-05,28260.0994116494,0,0,NA,132,0.88,20
6,1.60314814076846e-10,1.00315372875861e-09,70.6501670468997,74.933931701055,6.41259256307384e-08,28260.0668187599,0,0,NA,132,0.88,20
7,1.63016576410695e-13,1.02005077851774e-12,70.6502923230004,74.932647606594,6.5206630564278e-11,28260.1169292002,0,0,NA,132,0.88,20
8,1.65785735571875e-16,1.03740277937789e-15,70.6494123072058,74.9348107648942,6.63142942287499e-14,28259.7649228823,0,0,NA,132,0.88,20
9,1.685881044587e-19,1.05491995483332e-18,70.6480404629412,74.9332725933138,6.74352417834799e-17,28259.2161851765,0,0,NA,132,0.88,20
10,1.71460122755366e-22,1.07291752413722e-21,70.6487199017327,74.9337511463568,6.85840491021463e-20,28259.4879606931,0,0,NA,132,0.88,20
11,8.16340495475846e-26,8.16340495475846e-26,7.49304324578133,7.49304324578133,3.26536198190338e-23,2997.21729831253,0,0,NA,0,0,NA
